Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
44,4,68.2,19.8,5161.7,161.7,3.23,3891.85,53.39,0.04,0.0,PGC,16,5,16,21,26,1.5,0.2,0.3
43,2,72.1,21.1,8572.25,3572.25,71.45,7019.05,53.43,0.51,0.4,PGC,16,5,16,21,26,1.5,0.3,5.3
42,1,71.4,21.6,6247.59,1247.59,24.95,5103.94,53.38,0.24,0.1,PGC,16,5,16,21,26,1.5,0.4,2.2
42,1,71.4,21.6,6320.31,1320.31,26.41,5163.35,53.38,0.26,0.1,PGC,16,5,16,21,26,1.5,0.5,2.3
41,0,70.7,22.1,6588.75,1588.75,31.77,5382.64,53.38,0.3,0.1,PGC,16,5,16,21,26,1.5,0.6,2.7
42,4,66.7,20.5,4310.39,-689.61,-13.79,4628.83,60.22,-0.15,0.0,PGC,16,5,16,21,26,1.6,0.2,-1.4
41,2,70.7,21.8,5655.06,655.06,13.1,4482.36,55.45,0.15,0.0,PGC,16,5,16,21,26,1.6,0.3,1.2
40,1,70.0,22.4,5661.95,661.95,13.24,4482.36,55.45,0.15,0.0,PGC,16,5,16,21,26,1.6,0.4,1.2
40,1,70.0,22.4,5727.86,727.86,14.56,4445.07,54.35,0.16,0.0,PGC,16,5,16,21,26,1.6,0.5,1.3
39,0,69.2,23.0,5971.13,971.13,19.42,4307.41,50.52,0.23,0.0,PGC,16,5,16,21,26,1.6,0.6,1.7
39,4,64.1,20.7,4377.22,-622.78,-12.46,4835.96,62.36,-0.13,0.0,PGC,16,5,16,21,26,1.7,0.2,-1.3
38,2,68.4,22.2,5742.74,742.74,14.85,4522.42,58.32,0.16,0.0,PGC,16,5,16,21,26,1.7,0.3,1.3
37,1,67.6,22.8,5749.74,749.74,14.99,4522.42,58.32,0.17,0.0,PGC,16,5,16,21,26,1.7,0.4,1.4
36,1,66.7,23.0,4083.47,-916.53,-18.33,5031.86,64.89,-0.18,0.0,PGC,16,5,16,21,26,1.7,0.5,-1.9
36,0,66.7,23.5,6063.71,1063.71,21.27,4345.91,54.61,0.24,0.1,PGC,16,5,16,21,26,1.7,0.6,1.9
36,4,58.3,21.7,3876.92,-1123.08,-22.46,5259.78,63.22,-0.21,0.0,PGC,16,5,16,21,26,1.8,0.2,-2.4
34,2,61.8,23.3,4745.96,-254.04,-5.08,4851.74,58.32,-0.05,0.0,PGC,16,5,16,21,26,1.8,0.3,-0.5
34,1,61.8,23.6,5387.89,387.89,7.76,4851.74,58.32,0.08,0.0,PGC,16,5,16,21,26,1.8,0.4,0.7
33,1,60.6,23.8,3826.48,-1173.52,-23.47,5299.59,63.7,-0.22,0.1,PGC,16,5,16,21,26,1.8,0.5,-2.5
33,0,60.6,24.3,5682.1,682.1,13.64,4662.37,56.04,0.15,0.0,PGC,16,5,16,21,26,1.8,0.6,1.2
33,4,60.6,22.7,3497.71,-1502.29,-30.05,5043.16,63.44,-0.3,0.1,PGC,16,5,16,21,26,1.9,0.2,-3.4
31,2,64.5,25.0,4615.74,-384.26,-7.69,4635.77,58.32,-0.08,0.0,PGC,16,5,16,21,26,1.9,0.3,-0.8
31,1,64.5,25.3,5240.06,240.06,4.8,4635.77,58.32,0.05,0.0,PGC,16,5,16,21,26,1.9,0.4,0.5
30,1,63.3,25.2,3452.21,-1547.79,-30.96,5080.97,63.92,-0.3,0.1,PGC,16,5,16,21,26,1.9,0.5,-3.5
30,0,63.3,26.1,5526.2,526.2,10.52,4454.83,56.04,0.12,0.0,PGC,16,5,16,21,26,1.9,0.6,1.0
31,3,74.2,24.0,11596.52,6596.52,131.93,4344.67,35.45,1.52,2.0,PGC,16,5,16,21,26,2.0,0.2,8.4
29,2,75.9,25.8,8629.87,3629.87,72.6,4489.71,45.07,0.81,0.6,PGC,16,5,16,21,26,2.0,0.3,5.4
29,1,75.9,26.1,10035.66,5035.66,100.71,4489.71,42.33,1.12,1.1,PGC,16,5,16,21,26,2.0,0.4,6.9
28,1,75.0,26.1,5341.24,341.24,6.82,5692.59,61.37,0.06,0.0,PGC,16,5,16,21,26,2.0,0.5,0.6
28,0,75.0,27.1,8550.11,3550.11,71.0,5198.18,56.04,0.68,0.5,PGC,16,5,16,21,26,2.0,0.6,5.3
28,2,75.0,27.3,14271.65,9271.65,185.43,3401.33,22.55,2.73,5.1,PGC,16,5,16,21,26,2.1,0.2,10.6
26,2,73.1,28.3,5978.25,978.25,19.56,4615.39,55.64,0.21,0.0,PGC,16,5,16,21,26,2.1,0.3,1.7
26,1,73.1,28.7,6952.09,1952.09,39.04,4255.81,51.3,0.46,0.2,PGC,16,5,16,21,26,2.1,0.4,3.2
26,1,73.1,28.8,5923.0,923.0,18.46,4853.81,58.51,0.19,0.0,PGC,16,5,16,21,26,2.1,0.5,1.6
26,0,73.1,29.9,9481.37,4481.37,89.63,4648.9,46.39,0.96,0.9,PGC,16,5,16,21,26,2.1,0.6,6.3
22,2,77.3,27.8,12771.65,7771.65,155.43,3621.99,27.96,2.15,3.3,PGC,16,5,16,21,26,2.2,0.2,9.4
20,2,75.0,29.2,5349.91,349.91,7.0,5490.99,62.16,0.06,0.0,PGC,16,5,16,21,26,2.2,0.3,0.7
20,1,75.0,29.8,6221.4,1221.4,24.43,5164.38,58.46,0.24,0.1,PGC,16,5,16,21,26,2.2,0.4,2.1
20,1,75.0,29.9,5300.47,300.47,6.01,5707.56,64.61,0.05,0.0,PGC,16,5,16,21,26,2.2,0.5,0.6
