Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
51,16,52.9,19.8,449.79,-4550.21,-91.0,7137.63,96.22,-0.64,0.6,PLAY,16,5,16,21,26,1.5,0.2,-20.6
45,8,57.8,23.7,1840.97,-3159.03,-63.18,6530.11,86.88,-0.48,0.3,PLAY,16,5,16,21,26,1.5,0.3,-9.1
42,5,64.3,25.5,2382.51,-2617.49,-52.35,7555.07,83.57,-0.35,0.2,PLAY,16,5,16,21,26,1.5,0.4,-6.9
40,3,62.5,26.8,1372.72,-3627.28,-72.55,6674.32,89.97,-0.54,0.4,PLAY,16,5,16,21,26,1.5,0.5,-11.7
39,2,61.5,27.1,499.68,-4500.32,-90.01,7106.53,95.8,-0.63,0.6,PLAY,16,5,16,21,26,1.5,0.6,-19.8
49,16,51.0,20.5,446.58,-4553.42,-91.07,7164.5,95.02,-0.64,0.6,PLAY,16,5,16,21,26,1.6,0.2,-20.7
44,8,56.8,24.4,1966.84,-3033.16,-60.66,9277.15,84.86,-0.33,0.2,PLAY,16,5,16,21,26,1.6,0.3,-8.6
41,5,63.4,26.3,2545.4,-2454.6,-49.09,11006.11,83.71,-0.22,0.1,PLAY,16,5,16,21,26,1.6,0.4,-6.3
39,3,61.5,27.7,1466.57,-3533.43,-70.67,7922.54,86.52,-0.45,0.3,PLAY,16,5,16,21,26,1.6,0.5,-11.1
38,2,60.5,28.0,533.85,-4466.15,-89.32,7091.04,94.04,-0.63,0.6,PLAY,16,5,16,21,26,1.6,0.6,-19.3
44,15,47.7,21.5,319.33,-4680.67,-93.61,6062.97,95.76,-0.77,0.7,PLAY,16,5,16,21,26,1.7,0.2,-23.2
39,7,51.3,25.9,1136.83,-3863.17,-77.26,5515.02,87.1,-0.7,0.5,PLAY,16,5,16,21,26,1.7,0.3,-13.3
36,5,58.3,28.6,745.82,-4254.18,-85.08,5703.99,90.09,-0.75,0.6,PLAY,16,5,16,21,26,1.7,0.4,-16.7
34,3,55.9,30.3,566.4,-4433.6,-88.67,5855.01,92.47,-0.76,0.7,PLAY,16,5,16,21,26,1.7,0.5,-18.9
33,2,54.5,30.8,183.0,-4817.0,-96.34,6177.71,97.57,-0.78,0.8,PLAY,16,5,16,21,26,1.7,0.6,-27.2
40,14,45.0,23.1,402.77,-4597.23,-91.94,5983.71,94.72,-0.77,0.7,PLAY,16,5,16,21,26,1.8,0.2,-21.5
35,7,48.6,28.2,539.96,-4460.04,-89.2,5870.1,92.92,-0.76,0.7,PLAY,16,5,16,21,26,1.8,0.3,-19.2
32,5,53.1,32.1,578.94,-4421.06,-88.42,5837.83,92.41,-0.76,0.7,PLAY,16,5,16,21,26,1.8,0.4,-18.7
