Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
46,7,58.7,21.5,3599.95,-1400.05,-28.0,6416.0,75.24,-0.22,0.1,PRAA,16,5,16,21,26,1.5,0.2,-3.1
45,5,62.2,22.2,4217.45,-782.55,-15.65,5757.6,70.2,-0.14,0.0,PRAA,16,5,16,21,26,1.5,0.3,-1.6
41,2,58.5,24.3,1888.73,-3111.27,-62.23,7078.71,86.31,-0.44,0.3,PRAA,16,5,16,21,26,1.5,0.4,-8.9
41,1,58.5,24.7,2657.28,-2342.72,-46.85,6621.97,80.74,-0.35,0.2,PRAA,16,5,16,21,26,1.5,0.5,-5.9
40,0,57.5,25.3,2762.06,-2237.94,-44.76,6559.7,79.98,-0.34,0.2,PRAA,16,5,16,21,26,1.5,0.6,-5.5
46,7,60.9,21.3,6024.67,1024.67,20.49,7148.6,69.78,0.14,0.0,PRAA,16,5,16,21,26,1.6,0.2,1.8
43,5,60.5,22.4,4112.3,-887.7,-17.75,6941.32,70.45,-0.13,0.0,PRAA,16,5,16,21,26,1.6,0.3,-1.9
41,2,58.5,23.9,3037.12,-1962.88,-39.26,8271.3,83.95,-0.24,0.1,PRAA,16,5,16,21,26,1.6,0.4,-4.7
40,1,57.5,24.6,3843.63,-1156.37,-23.13,7851.32,79.69,-0.15,0.0,PRAA,16,5,16,21,26,1.6,0.5,-2.5
40,0,57.5,24.9,4441.44,-558.56,-11.17,7540.02,76.53,-0.07,0.0,PRAA,16,5,16,21,26,1.6,0.6,-1.1
45,7,66.7,21.4,9989.29,4989.29,99.79,8350.25,57.81,0.6,0.6,PRAA,16,5,16,21,26,1.7,0.2,6.9
39,5,61.5,24.0,2813.08,-2186.92,-43.74,9863.73,79.21,-0.22,0.1,PRAA,16,5,16,21,26,1.7,0.3,-5.4
39,1,61.5,25.3,6321.98,1321.98,26.44,9273.48,72.06,0.14,0.0,PRAA,16,5,16,21,26,1.7,0.4,2.3
38,1,60.5,25.6,5431.53,431.53,8.63,9780.02,75.99,0.04,0.0,PRAA,16,5,16,21,26,1.7,0.5,0.8
38,0,60.5,26.0,6276.31,1276.31,25.53,9299.46,72.26,0.14,0.0,PRAA,16,5,16,21,26,1.7,0.6,2.2
42,7,64.3,22.4,7434.1,2434.1,48.68,7978.59,57.24,0.31,0.2,PRAA,16,5,16,21,26,1.8,0.2,3.9
38,4,63.2,25.2,5032.66,32.66,0.65,8908.4,74.73,0.0,0.0,PRAA,16,5,16,21,26,1.8,0.3,0.1
38,1,63.2,26.2,7852.18,2852.18,57.04,8956.75,68.88,0.32,0.2,PRAA,16,5,16,21,26,1.8,0.4,4.4
37,1,62.2,26.5,6746.21,1746.21,34.92,9526.85,73.26,0.18,0.1,PRAA,16,5,16,21,26,1.8,0.5,2.9
37,0,62.2,26.9,7795.45,2795.45,55.91,8985.99,69.1,0.31,0.2,PRAA,16,5,16,21,26,1.8,0.6,4.4
38,7,60.5,25.0,5539.85,539.85,10.8,7156.95,58.36,0.08,0.0,PRAA,16,5,16,21,26,1.9,0.2,1.0
34,4,61.8,28.9,4443.69,-556.31,-11.13,8976.98,76.12,-0.06,0.0,PRAA,16,5,16,21,26,1.9,0.3,-1.1
34,1,61.8,30.0,6610.77,1610.77,32.22,8185.36,69.4,0.2,0.1,PRAA,16,5,16,21,26,1.9,0.4,2.7
33,1,60.6,30.5,5679.65,679.65,13.59,8693.62,73.71,0.08,0.0,PRAA,16,5,16,21,26,1.9,0.5,1.2
33,0,60.6,31.0,6563.01,1563.01,31.26,8211.42,69.62,0.19,0.1,PRAA,16,5,16,21,26,1.9,0.6,2.6
33,8,57.6,27.1,3147.82,-1852.18,-37.04,7918.23,72.96,-0.23,0.1,PRAA,16,5,16,21,26,2.0,0.2,-4.3
29,4,55.2,32.7,2800.61,-2199.39,-43.99,7985.72,76.51,-0.28,0.1,PRAA,16,5,16,21,26,2.0,0.3,-5.4
29,1,55.2,34.1,4241.55,-758.45,-15.17,7240.08,69.37,-0.1,0.0,PRAA,16,5,16,21,26,2.0,0.4,-1.6
28,1,53.6,34.9,3644.13,-1355.87,-27.12,7690.43,73.68,-0.18,0.0,PRAA,16,5,16,21,26,2.0,0.5,-3.0
28,0,53.6,35.4,4210.91,-789.09,-15.78,7263.18,69.59,-0.11,0.0,PRAA,16,5,16,21,26,2.0,0.6,-1.6
30,8,56.7,26.9,3191.67,-1808.33,-36.17,7877.36,72.59,-0.23,0.1,PRAA,16,5,16,21,26,2.1,0.2,-4.2
26,4,53.8,33.1,2875.7,-2124.3,-42.49,7999.97,76.65,-0.27,0.1,PRAA,16,5,16,21,26,2.1,0.3,-5.2
26,1,53.8,34.7,4355.28,-644.72,-12.89,7258.67,69.54,-0.09,0.0,PRAA,16,5,16,21,26,2.1,0.4,-1.3
25,1,52.0,35.6,3741.84,-1258.16,-25.16,7706.4,73.83,-0.16,0.0,PRAA,16,5,16,21,26,2.1,0.5,-2.7
25,0,52.0,36.1,4323.81,-676.19,-13.52,7281.64,69.76,-0.09,0.0,PRAA,16,5,16,21,26,2.1,0.6,-1.4
25,6,60.0,28.6,4520.36,-479.64,-9.59,10286.17,70.94,-0.05,0.0,PRAA,16,5,16,21,26,2.2,0.2,-1.0
23,3,60.9,33.2,5074.94,74.94,1.5,9574.77,68.66,0.01,0.0,PRAA,16,5,16,21,26,2.2,0.3,0.1
23,1,65.2,34.7,8251.78,3251.78,65.04,10511.35,63.2,0.31,0.2,PRAA,16,5,16,21,26,2.2,0.4,4.9
22,1,63.6,35.6,7089.53,2089.53,41.79,11373.24,68.39,0.18,0.1,PRAA,16,5,16,21,26,2.2,0.5,3.4
22,0,63.6,36.3,8192.17,3192.17,63.84,10555.55,63.47,0.3,0.2,PRAA,16,5,16,21,26,2.2,0.6,4.9
21,6,52.4,30.8,4280.42,-719.58,-14.39,10509.85,72.48,-0.07,0.0,PRAA,16,5,16,21,26,2.3,0.2,-1.5
20,3,55.0,35.0,5410.97,410.97,8.22,9126.91,65.45,0.05,0.0,PRAA,16,5,16,21,26,2.3,0.3,0.8
19,1,57.9,37.9,8022.59,3022.59,60.45,12031.25,66.17,0.25,0.2,PRAA,16,5,16,21,26,2.3,0.4,4.6
19,0,57.9,38.7,8734.61,3734.61,74.69,11485.28,63.17,0.33,0.2,PRAA,16,5,16,21,26,2.3,0.5,5.5
19,0,57.9,38.7,8734.61,3734.61,74.69,11485.28,63.17,0.33,0.2,PRAA,16,5,16,21,26,2.3,0.6,5.5
16,5,50.0,34.5,4627.63,-372.37,-7.45,6196.01,59.2,-0.06,0.0,PRAA,16,5,16,21,26,2.4,0.2,-0.7
15,1,53.3,41.0,7428.9,2428.9,48.58,6113.01,58.93,0.4,0.2,PRAA,16,5,16,21,26,2.4,0.3,3.9
15,0,60.0,42.6,12761.23,7761.23,155.22,5791.96,32.75,1.34,2.1,PRAA,16,5,16,21,26,2.4,0.4,9.4
15,0,60.0,42.6,12761.23,7761.23,155.22,5791.96,32.75,1.34,2.1,PRAA,16,5,16,21,26,2.4,0.5,9.4
15,0,60.0,42.6,12761.23,7761.23,155.22,5791.96,32.75,1.34,2.1,PRAA,16,5,16,21,26,2.4,0.6,9.4
15,4,60.0,39.0,12294.66,7294.66,145.89,6417.57,45.36,1.14,1.7,PRAA,16,5,16,21,26,2.5,0.2,9.0
14,2,57.1,50.2,10576.29,5576.29,111.53,6862.54,56.38,0.81,0.9,PRAA,16,5,16,21,26,2.5,0.3,7.5
14,0,64.3,55.9,21685.28,16685.28,333.71,7784.38,31.19,2.14,7.1,PRAA,16,5,16,21,26,2.5,0.4,15.1
14,0,64.3,55.9,21685.28,16685.28,333.71,7784.38,31.19,2.14,7.1,PRAA,16,5,16,21,26,2.5,0.5,15.1
14,0,64.3,55.9,21685.28,16685.28,333.71,7784.38,31.19,2.14,7.1,PRAA,16,5,16,21,26,2.5,0.6,15.1
13,3,61.5,40.0,8969.8,3969.8,79.4,6821.85,49.82,0.58,0.5,PRAA,16,5,16,21,26,2.6,0.2,5.8
12,1,66.7,54.3,9919.7,4919.7,98.39,7225.04,54.86,0.68,0.7,PRAA,16,5,16,21,26,2.6,0.3,6.8
12,0,66.7,58.9,11840.28,6840.28,136.81,6074.09,44.58,1.13,1.5,PRAA,16,5,16,21,26,2.6,0.4,8.6
12,0,66.7,58.9,11840.28,6840.28,136.81,6074.09,44.58,1.13,1.5,PRAA,16,5,16,21,26,2.6,0.5,8.6
12,0,66.7,58.9,11840.28,6840.28,136.81,6074.09,44.58,1.13,1.5,PRAA,16,5,16,21,26,2.6,0.6,8.6
9,2,66.7,33.1,11797.25,6797.25,135.94,4189.44,31.19,1.62,2.2,PRAA,16,5,16,21,26,2.7,0.2,8.6
8,0,75.0,42.9,15043.06,10043.06,200.86,5342.1,31.19,1.88,3.8,PRAA,16,5,16,21,26,2.7,0.3,11.2
8,0,75.0,42.9,15043.06,10043.06,200.86,5342.1,31.19,1.88,3.8,PRAA,16,5,16,21,26,2.7,0.4,11.2
8,0,75.0,42.9,15043.06,10043.06,200.86,5342.1,31.19,1.88,3.8,PRAA,16,5,16,21,26,2.7,0.5,11.2
8,0,75.0,42.9,15043.06,10043.06,200.86,5342.1,31.19,1.88,3.8,PRAA,16,5,16,21,26,2.7,0.6,11.2
6,3,33.3,64.3,4454.5,-545.5,-10.91,4942.06,57.43,-0.11,0.0,PRAA,16,5,16,21,26,2.8,0.2,-1.1
5,1,20.0,94.2,4868.3,-131.7,-2.63,5067.64,55.86,-0.03,0.0,PRAA,16,5,16,21,26,2.8,0.3,-0.3
5,0,20.0,120.4,5740.08,740.08,14.8,4350.68,47.96,0.17,0.0,PRAA,16,5,16,21,26,2.8,0.4,1.3
5,0,20.0,120.4,5740.08,740.08,14.8,4350.68,47.96,0.17,0.0,PRAA,16,5,16,21,26,2.8,0.5,1.3
5,0,20.0,120.4,5740.08,740.08,14.8,4350.68,47.96,0.17,0.0,PRAA,16,5,16,21,26,2.8,0.6,1.3
