Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
49,8,75.5,17.9,12440.73,7440.73,148.81,5510.51,44.29,1.35,2.0,PRSU,16,5,16,21,26,1.5,0.2,9.1
44,3,75.0,20.3,12055.32,7055.32,141.11,5452.26,45.23,1.29,1.8,PRSU,16,5,16,21,26,1.5,0.3,8.8
43,2,76.7,20.8,12124.53,7124.53,142.49,5442.39,44.89,1.31,1.9,PRSU,16,5,16,21,26,1.5,0.4,8.9
43,2,76.7,20.8,8439.7,3439.7,68.79,5967.94,70.71,0.58,0.4,PRSU,16,5,16,21,26,1.5,0.5,5.2
42,1,78.6,21.3,8898.35,3898.35,77.97,5902.53,66.33,0.66,0.5,PRSU,16,5,16,21,26,1.5,0.6,5.7
43,8,69.8,19.4,9553.97,4553.97,91.08,4723.43,49.44,0.96,0.9,PRSU,16,5,16,21,26,1.6,0.2,6.4
39,3,69.2,22.1,10331.85,5331.85,106.64,4590.21,44.43,1.16,1.2,PRSU,16,5,16,21,26,1.6,0.3,7.2
38,2,71.1,22.7,11330.59,6330.59,126.61,4450.09,39.27,1.42,1.8,PRSU,16,5,16,21,26,1.6,0.4,8.2
38,2,71.1,22.7,7233.13,2233.13,44.66,5024.93,69.47,0.44,0.2,PRSU,16,5,16,21,26,1.6,0.5,3.6
37,1,73.0,23.4,7626.2,2626.2,52.52,4969.79,65.17,0.53,0.3,PRSU,16,5,16,21,26,1.6,0.6,4.1
42,8,69.0,20.1,13647.66,8647.66,172.95,5010.95,36.72,1.73,3.0,PRSU,16,5,16,21,26,1.7,0.2,10.1
38,3,68.4,23.1,12193.54,7193.54,143.87,5176.38,42.45,1.39,2.0,PRSU,16,5,16,21,26,1.7,0.3,8.9
37,2,70.3,23.7,11380.54,6380.54,127.61,5272.88,46.33,1.21,1.5,PRSU,16,5,16,21,26,1.7,0.4,8.2
36,1,72.2,24.4,11810.37,6810.37,136.21,5221.86,44.21,1.3,1.8,PRSU,16,5,16,21,26,1.7,0.5,8.6
36,1,72.2,24.4,9885.25,4885.25,97.7,5450.37,55.14,0.9,0.9,PRSU,16,5,16,21,26,1.7,0.6,6.8
37,7,70.3,21.2,11701.91,6701.91,134.04,4685.84,40.04,1.43,1.9,PRSU,16,5,16,21,26,1.8,0.2,8.5
34,3,67.6,24.0,8750.89,3750.89,75.02,5170.26,59.08,0.73,0.5,PRSU,16,5,16,21,26,1.8,0.3,5.5
33,2,69.7,24.7,11042.22,6042.22,120.84,4787.41,43.36,1.26,1.5,PRSU,16,5,16,21,26,1.8,0.4,7.9
32,1,71.9,25.6,8475.9,3475.9,69.52,5216.21,61.54,0.67,0.5,PRSU,16,5,16,21,26,1.8,0.5,5.2
32,1,71.9,25.6,7094.31,2094.31,41.89,5447.06,76.78,0.38,0.2,PRSU,16,5,16,21,26,1.8,0.6,3.4
31,7,64.5,23.8,4040.52,-959.48,-19.19,4476.15,72.08,-0.21,0.0,PRSU,16,5,16,21,26,1.9,0.2,-2.0
27,2,63.0,28.3,4317.94,-682.06,-13.64,4348.86,70.03,-0.16,0.0,PRSU,16,5,16,21,26,1.9,0.3,-1.4
27,2,63.0,28.4,3812.74,-1187.26,-23.75,4566.63,73.53,-0.26,0.1,PRSU,16,5,16,21,26,1.9,0.4,-2.6
27,1,66.7,29.6,5878.38,878.38,17.57,4894.23,78.81,0.18,0.0,PRSU,16,5,16,21,26,1.9,0.5,1.6
27,1,66.7,29.6,4920.18,-79.82,-1.6,5108.73,82.26,-0.02,0.0,PRSU,16,5,16,21,26,1.9,0.6,-0.2
26,5,76.9,26.3,5585.94,585.94,11.72,4175.34,66.86,0.14,0.0,PRSU,16,5,16,21,26,2.0,0.2,1.1
24,2,75.0,29.4,5108.81,108.81,2.18,4442.07,71.13,0.02,0.0,PRSU,16,5,16,21,26,2.0,0.3,0.2
24,2,75.0,29.5,4565.94,-434.06,-8.68,4633.64,74.2,-0.09,0.0,PRSU,16,5,16,21,26,2.0,0.4,-0.9
24,1,79.2,30.7,9906.34,4906.34,98.13,4429.46,41.09,1.11,1.1,PRSU,16,5,16,21,26,2.0,0.5,6.8
24,1,79.2,30.7,9906.34,4906.34,98.13,4429.46,41.09,1.11,1.1,PRSU,16,5,16,21,26,2.0,0.6,6.8
24,4,79.2,30.5,10823.53,5823.53,116.47,3432.45,30.77,1.7,2.0,PRSU,16,5,16,21,26,2.1,0.2,7.7
22,1,77.3,34.1,9899.02,4899.02,97.98,3319.69,32.17,1.48,1.5,PRSU,16,5,16,21,26,2.1,0.3,6.8
22,1,77.3,34.2,8847.13,3847.13,76.94,3660.39,39.69,1.05,0.8,PRSU,16,5,16,21,26,2.1,0.4,5.6
22,1,77.3,34.4,5857.1,857.1,17.14,4628.84,70.93,0.19,0.0,PRSU,16,5,16,21,26,2.1,0.5,1.5
22,1,77.3,34.4,5857.1,857.1,17.14,4628.84,70.93,0.19,0.0,PRSU,16,5,16,21,26,2.1,0.6,1.5
21,5,76.2,33.1,4167.54,-832.46,-16.65,3718.06,56.97,-0.22,0.0,PRSU,16,5,16,21,26,2.2,0.2,-1.7
19,3,73.7,35.4,2855.98,-2144.02,-42.88,4254.51,65.19,-0.5,0.2,PRSU,16,5,16,21,26,2.2,0.3,-5.2
18,1,72.2,41.4,2889.18,-2110.82,-42.22,4344.98,66.58,-0.49,0.2,PRSU,16,5,16,21,26,2.2,0.4,-5.1
18,1,72.2,41.6,1912.74,-3087.26,-61.75,5082.06,77.88,-0.61,0.4,PRSU,16,5,16,21,26,2.2,0.5,-8.8
18,1,72.2,41.6,1912.74,-3087.26,-61.75,5082.06,77.88,-0.61,0.4,PRSU,16,5,16,21,26,2.2,0.6,-8.8
20,5,75.0,32.0,5052.72,52.72,1.05,3216.16,52.56,0.02,0.0,PRSU,16,5,16,21,26,2.3,0.2,0.1
18,2,72.2,35.9,4088.07,-911.93,-18.24,3732.08,60.99,-0.24,0.0,PRSU,16,5,16,21,26,2.3,0.3,-1.9
17,1,70.6,40.7,3668.92,-1331.08,-26.62,3976.83,64.99,-0.33,0.1,PRSU,16,5,16,21,26,2.3,0.4,-2.9
17,1,70.6,40.9,2428.95,-2571.05,-51.42,4700.86,76.82,-0.55,0.3,PRSU,16,5,16,21,26,2.3,0.5,-6.7
17,1,70.6,40.9,2428.95,-2571.05,-51.42,4700.86,76.82,-0.55,0.3,PRSU,16,5,16,21,26,2.3,0.6,-6.7
14,5,57.1,38.9,3124.88,-1875.12,-37.5,3654.52,61.02,-0.51,0.2,PRSU,16,5,16,21,26,2.4,0.2,-4.4
13,2,53.8,44.5,3176.57,-1823.43,-36.47,3795.68,63.37,-0.48,0.2,PRSU,16,5,16,21,26,2.4,0.3,-4.3
13,1,53.8,49.4,2772.66,-2227.34,-44.55,4074.61,68.03,-0.55,0.2,PRSU,16,5,16,21,26,2.4,0.4,-5.5
13,1,53.8,49.5,2050.81,-2949.19,-58.98,4573.1,76.35,-0.64,0.4,PRSU,16,5,16,21,26,2.4,0.5,-8.2
13,1,53.8,49.6,1812.3,-3187.7,-63.75,4737.8,79.1,-0.67,0.4,PRSU,16,5,16,21,26,2.4,0.6,-9.3
12,3,66.7,45.6,4902.25,-97.75,-1.96,2928.88,44.43,-0.03,0.0,PRSU,16,5,16,21,26,2.5,0.2,-0.2
12,2,66.7,48.6,4179.97,-820.03,-16.4,3781.47,57.37,-0.22,0.0,PRSU,16,5,16,21,26,2.5,0.3,-1.7
12,1,66.7,53.8,3648.47,-1351.53,-27.03,4138.79,62.79,-0.33,0.1,PRSU,16,5,16,21,26,2.5,0.4,-3.0
12,1,66.7,54.0,2698.61,-2301.39,-46.03,4777.39,72.48,-0.48,0.2,PRSU,16,5,16,21,26,2.5,0.5,-5.7
12,1,66.7,54.1,2384.76,-2615.24,-52.3,4988.39,75.68,-0.52,0.3,PRSU,16,5,16,21,26,2.5,0.6,-6.9
8,2,62.5,54.4,4446.37,-553.63,-11.07,1744.81,31.14,-0.32,0.0,PRSU,16,5,16,21,26,2.6,0.2,-1.1
8,1,62.5,58.4,4425.55,-574.45,-11.49,1973.37,35.22,-0.29,0.0,PRSU,16,5,16,21,26,2.6,0.3,-1.2
8,1,62.5,58.8,3540.21,-1459.79,-29.2,2699.51,48.18,-0.54,0.2,PRSU,16,5,16,21,26,2.6,0.4,-3.3
8,1,62.5,59.0,2618.53,-2381.47,-47.63,3455.45,61.67,-0.69,0.3,PRSU,16,5,16,21,26,2.6,0.5,-6.0
8,1,62.5,59.1,2314.0,-2686.0,-53.72,3705.22,66.13,-0.72,0.4,PRSU,16,5,16,21,26,2.6,0.6,-7.1
7,2,57.1,58.3,4851.62,-148.38,-2.97,1828.2,30.28,-0.08,0.0,PRSU,16,5,16,21,26,2.7,0.2,-0.3
