Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
49,7,75.5,18.0,21442.22,16442.22,328.84,6087.57,26.53,2.7,8.9,RDNT,16,5,16,21,26,1.5,0.2,15.0
45,4,77.8,19.5,15503.95,10503.95,210.08,5235.34,31.55,2.01,4.2,RDNT,16,5,16,21,26,1.5,0.3,11.5
43,1,79.1,20.6,24819.74,19819.74,396.39,7922.73,29.83,2.5,9.9,RDNT,16,5,16,21,26,1.5,0.4,16.6
43,1,79.1,20.6,32069.56,27069.56,541.39,10236.95,29.83,2.64,14.3,RDNT,16,5,16,21,26,1.5,0.5,19.5
43,1,79.1,20.6,16151.01,11151.01,223.02,5198.43,30.08,2.15,4.8,RDNT,16,5,16,21,26,1.5,0.6,11.9
40,6,70.0,19.5,9047.11,4047.11,80.94,3975.15,40.73,1.02,0.8,RDNT,16,5,16,21,26,1.6,0.2,5.9
38,3,73.7,21.0,9451.54,4451.54,89.03,4022.68,39.77,1.11,1.0,RDNT,16,5,16,21,26,1.6,0.3,6.3
37,1,75.7,22.0,18122.01,13122.01,262.44,7153.12,36.88,1.83,4.8,RDNT,16,5,16,21,26,1.6,0.4,13.2
37,1,75.7,22.0,23415.43,18415.43,368.31,9242.54,36.88,1.99,7.3,RDNT,16,5,16,21,26,1.6,0.5,16.0
36,1,75.0,22.2,8362.01,3362.01,67.24,4260.45,47.61,0.79,0.5,RDNT,16,5,16,21,26,1.6,0.6,5.1
37,7,70.3,20.4,7224.16,2224.16,44.48,4328.68,55.99,0.51,0.2,RDNT,16,5,16,21,26,1.7,0.2,3.6
35,4,74.3,22.2,7620.83,2620.83,52.42,4376.23,53.66,0.6,0.3,RDNT,16,5,16,21,26,1.7,0.3,4.1
33,1,75.8,24.2,15936.21,10936.21,218.72,6050.2,35.48,1.81,4.0,RDNT,16,5,16,21,26,1.7,0.4,11.8
33,1,75.8,24.2,20591.16,15591.16,311.82,7817.46,35.48,1.99,6.2,RDNT,16,5,16,21,26,1.7,0.5,14.6
32,1,75.0,24.3,6762.1,1762.1,35.24,4614.09,63.76,0.38,0.1,RDNT,16,5,16,21,26,1.7,0.6,2.9
