Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
22,6,54.5,20.1,,,,,0.0,999.0,,RELY,16,5,16,21,26,1.5,0.2,
19,3,57.9,21.9,,,,,0.0,999.0,,RELY,16,5,16,21,26,1.5,0.3,
17,2,52.9,25.7,,,,,0.0,999.0,,RELY,16,5,16,21,26,1.5,0.4,
17,1,58.8,26.2,,,,,0.0,999.0,,RELY,16,5,16,21,26,1.5,0.5,
16,1,56.2,27.2,,,,,0.0,999.0,,RELY,16,5,16,21,26,1.5,0.6,
19,5,63.2,21.6,8264.16,3264.16,65.28,4287.09,48.0,0.76,0.5,RELY,16,5,16,21,26,1.6,0.2,11.3
17,3,64.7,24.1,6845.62,1845.62,36.91,3220.56,46.07,0.57,0.2,RELY,16,5,16,21,26,1.6,0.3,6.9
16,3,62.5,27.8,4664.61,-335.39,-6.71,3423.84,59.88,-0.1,0.0,RELY,16,5,16,21,26,1.6,0.4,-1.5
15,1,66.7,29.1,6082.32,1082.32,21.65,3396.01,50.34,0.32,0.1,RELY,16,5,16,21,26,1.6,0.5,4.3
15,1,66.7,29.5,5190.98,190.98,3.82,3412.77,59.27,0.06,0.0,RELY,16,5,16,21,26,1.6,0.6,0.8
19,5,63.2,21.6,9250.01,4250.01,85.0,4416.29,45.93,0.96,0.8,RELY,16,5,16,21,26,1.7,0.2,14.0
17,3,64.7,24.1,7790.09,2790.09,55.8,3360.71,43.14,0.83,0.5,RELY,16,5,16,21,26,1.7,0.3,9.9
16,3,62.5,27.5,5527.24,527.24,10.54,3542.38,53.78,0.15,0.0,RELY,16,5,16,21,26,1.7,0.4,2.2
15,1,66.7,29.1,7302.71,2302.71,46.05,3767.72,48.36,0.61,0.3,RELY,16,5,16,21,26,1.7,0.5,8.4
15,1,66.7,30.3,6055.24,1055.24,21.1,3380.25,52.33,0.31,0.1,RELY,16,5,16,21,26,1.7,0.6,4.2
18,4,66.7,24.7,8540.9,3540.9,70.82,3737.14,43.76,0.95,0.7,RELY,16,5,16,21,26,1.8,0.2,12.1
17,3,70.6,25.9,7181.64,2181.64,43.63,2994.96,41.7,0.73,0.3,RELY,16,5,16,21,26,1.8,0.3,8.0
16,3,68.8,29.6,4786.74,-213.26,-4.27,3348.29,60.83,-0.06,0.0,RELY,16,5,16,21,26,1.8,0.4,-0.9
15,1,73.3,31.2,6608.95,1608.95,32.18,3197.8,47.0,0.5,0.2,RELY,16,5,16,21,26,1.8,0.5,6.1
15,1,73.3,32.5,5244.0,244.0,4.88,3380.25,62.62,0.07,0.0,RELY,16,5,16,21,26,1.8,0.6,1.0
15,3,80.0,25.3,12240.06,7240.06,144.8,3552.87,29.03,2.04,3.0,RELY,16,5,16,21,26,1.9,0.2,21.0
14,2,85.7,26.4,11282.76,6282.76,125.66,2855.19,25.31,2.2,2.8,RELY,16,5,16,21,26,1.9,0.3,18.9
13,2,84.6,30.4,7144.1,2144.1,42.88,2769.48,38.77,0.77,0.3,RELY,16,5,16,21,26,1.9,0.4,7.9
13,0,84.6,32.8,9443.91,4443.91,88.88,3050.36,32.3,1.46,1.3,RELY,16,5,16,21,26,1.9,0.5,14.5
13,0,84.6,32.8,9443.91,4443.91,88.88,3050.36,32.3,1.46,1.3,RELY,16,5,16,21,26,1.9,0.6,14.5
12,3,75.0,27.8,9195.0,4195.0,83.9,2740.64,29.81,1.53,1.3,RELY,16,5,16,21,26,2.0,0.2,13.9
11,2,81.8,29.4,8637.1,3637.1,72.74,2135.45,24.72,1.7,1.2,RELY,16,5,16,21,26,2.0,0.3,12.3
10,2,80.0,34.9,5366.8,366.8,7.34,2659.47,49.55,0.14,0.0,RELY,16,5,16,21,26,2.0,0.4,1.5
10,0,80.0,38.1,7094.47,2094.47,41.89,2480.43,34.96,0.84,0.4,RELY,16,5,16,21,26,2.0,0.5,7.7
10,0,80.0,38.1,7094.47,2094.47,41.89,2480.43,34.96,0.84,0.4,RELY,16,5,16,21,26,2.0,0.6,7.7
11,4,63.6,24.8,5754.4,754.4,15.09,2738.93,42.27,0.28,0.0,RELY,16,5,16,21,26,2.1,0.2,3.0
9,2,66.7,29.2,5732.63,732.63,14.65,2132.98,37.21,0.34,0.0,RELY,16,5,16,21,26,2.1,0.3,3.0
8,2,62.5,36.2,3467.78,-1532.22,-30.64,2745.81,54.92,-0.56,0.2,RELY,16,5,16,21,26,2.1,0.4,-7.5
8,0,62.5,40.2,4584.12,-415.88,-8.32,2480.43,47.38,-0.17,0.0,RELY,16,5,16,21,26,2.1,0.5,-1.8
8,0,62.5,40.2,4584.12,-415.88,-8.32,2480.43,47.38,-0.17,0.0,RELY,16,5,16,21,26,2.1,0.6,-1.8
10,4,60.0,25.7,5322.92,322.92,6.46,3524.75,50.46,0.09,0.0,RELY,16,5,16,21,26,2.2,0.2,1.3
