Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
45,3,68.9,18.5,23531.23,18531.23,370.62,4802.14,20.41,3.86,14.3,RMBS,16,5,16,21,26,1.5,0.2,16.0
44,2,70.5,18.9,19790.58,14790.58,295.81,3771.81,19.06,3.92,11.6,RMBS,16,5,16,21,26,1.5,0.3,14.1
42,0,69.0,19.9,20145.85,15145.85,302.92,3839.52,19.06,3.94,11.9,RMBS,16,5,16,21,26,1.5,0.4,14.3
42,0,69.0,19.9,20145.85,15145.85,302.92,3839.52,19.06,3.94,11.9,RMBS,16,5,16,21,26,1.5,0.5,14.3
42,0,69.0,19.9,20145.85,15145.85,302.92,3839.52,19.06,3.94,11.9,RMBS,16,5,16,21,26,1.5,0.6,14.3
44,3,68.2,18.7,20937.34,15937.34,318.75,4225.82,20.18,3.77,12.0,RMBS,16,5,16,21,26,1.6,0.2,14.7
42,2,69.0,19.1,17446.69,12446.69,248.93,3288.55,18.85,3.78,9.4,RMBS,16,5,16,21,26,1.6,0.3,12.7
41,0,68.3,20.1,22387.65,17387.65,347.75,4219.87,18.85,4.12,14.3,RMBS,16,5,16,21,26,1.6,0.4,15.5
41,0,68.3,20.1,22387.65,17387.65,347.75,4219.87,18.85,4.12,14.3,RMBS,16,5,16,21,26,1.6,0.5,15.5
41,0,68.3,20.1,22387.65,17387.65,347.75,4219.87,18.85,4.12,14.3,RMBS,16,5,16,21,26,1.6,0.6,15.5
38,3,68.4,21.0,16270.41,11270.41,225.41,4422.26,27.18,2.55,5.7,RMBS,16,5,16,21,26,1.7,0.2,12.0
37,2,70.3,21.1,13848.76,8848.76,176.98,2610.37,18.85,3.39,6.0,RMBS,16,5,16,21,26,1.7,0.3,10.3
36,0,69.4,22.6,19062.67,14062.67,281.25,3593.14,18.85,3.91,11.0,RMBS,16,5,16,21,26,1.7,0.4,13.7
36,0,69.4,22.6,19062.67,14062.67,281.25,3593.14,18.85,3.91,11.0,RMBS,16,5,16,21,26,1.7,0.5,13.7
36,0,69.4,22.6,19062.67,14062.67,281.25,3593.14,18.85,3.91,11.0,RMBS,16,5,16,21,26,1.7,0.6,13.7
37,3,73.0,21.2,23156.33,18156.33,363.13,5825.01,25.16,3.12,11.3,RMBS,16,5,16,21,26,1.8,0.2,15.9
35,2,74.3,21.2,16083.63,11083.63,221.67,3214.39,19.99,3.45,7.6,RMBS,16,5,16,21,26,1.8,0.3,11.9
35,0,74.3,22.9,24320.12,19320.12,386.4,4860.49,19.99,3.97,15.3,RMBS,16,5,16,21,26,1.8,0.4,16.4
35,0,74.3,22.9,24320.12,19320.12,386.4,4860.49,19.99,3.97,15.3,RMBS,16,5,16,21,26,1.8,0.5,16.4
35,0,74.3,22.9,24320.12,19320.12,386.4,4860.49,19.99,3.97,15.3,RMBS,16,5,16,21,26,1.8,0.6,16.4
34,3,73.5,21.8,27216.35,22216.35,444.33,6377.1,23.43,3.48,15.5,RMBS,16,5,16,21,26,1.9,0.2,17.7
33,2,72.7,22.4,17520.63,12520.63,250.41,3261.6,18.62,3.84,9.6,RMBS,16,5,16,21,26,1.9,0.3,12.8
