Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
51,8,68.6,18.6,6028.13,1028.13,20.56,5465.57,52.04,0.19,0.0,ROCK,16,5,16,21,26,1.5,0.2,1.8
45,2,66.7,21.7,5673.21,673.21,13.46,5652.97,54.39,0.12,0.0,ROCK,16,5,16,21,26,1.5,0.3,1.2
44,2,68.2,21.8,5154.75,154.75,3.1,6086.25,58.55,0.03,0.0,ROCK,16,5,16,21,26,1.5,0.4,0.3
44,0,68.2,22.5,8259.03,3259.03,65.18,6941.09,50.14,0.47,0.3,ROCK,16,5,16,21,26,1.5,0.5,4.9
44,0,68.2,22.5,8259.03,3259.03,65.18,6941.09,50.14,0.47,0.3,ROCK,16,5,16,21,26,1.5,0.6,4.9
47,8,66.0,19.8,5282.18,282.18,5.64,6931.74,59.78,0.04,0.0,ROCK,16,5,16,21,26,1.6,0.2,0.5
42,3,64.3,23.5,4220.32,-779.68,-15.59,7160.33,62.92,-0.11,0.0,ROCK,16,5,16,21,26,1.6,0.3,-1.6
40,2,67.5,22.8,4342.6,-657.4,-13.15,7546.01,66.31,-0.09,0.0,ROCK,16,5,16,21,26,1.6,0.4,-1.3
40,0,67.5,23.6,6957.78,1957.78,39.16,9178.75,59.9,0.21,0.1,ROCK,16,5,16,21,26,1.6,0.5,3.2
40,0,67.5,23.6,6957.78,1957.78,39.16,9178.75,59.9,0.21,0.1,ROCK,16,5,16,21,26,1.6,0.6,3.2
42,7,64.3,21.3,6336.92,1336.92,26.74,4901.42,46.69,0.27,0.1,ROCK,16,5,16,21,26,1.7,0.2,2.3
38,3,65.8,24.9,4806.09,-193.91,-3.88,5164.17,51.8,-0.04,0.0,ROCK,16,5,16,21,26,1.7,0.3,-0.4
36,2,66.7,24.9,4564.7,-435.3,-8.71,5939.5,59.57,-0.07,0.0,ROCK,16,5,16,21,26,1.7,0.4,-0.9
36,0,66.7,25.5,7396.72,2396.72,47.93,7715.34,54.15,0.31,0.1,ROCK,16,5,16,21,26,1.7,0.5,3.8
36,0,66.7,25.5,7396.72,2396.72,47.93,7715.34,54.15,0.31,0.1,ROCK,16,5,16,21,26,1.7,0.6,3.8
38,6,63.2,23.9,6076.81,1076.81,21.54,3169.91,42.38,0.34,0.1,ROCK,16,5,16,21,26,1.8,0.2,1.9
35,3,65.7,27.4,4586.84,-413.16,-8.26,3378.71,46.09,-0.12,0.0,ROCK,16,5,16,21,26,1.8,0.3,-0.8
33,2,66.7,27.5,4356.46,-643.54,-12.87,3657.39,49.89,-0.18,0.0,ROCK,16,5,16,21,26,1.8,0.4,-1.3
33,0,66.7,28.2,7059.28,2059.28,41.19,4423.63,44.48,0.47,0.2,ROCK,16,5,16,21,26,1.8,0.5,3.4
33,0,66.7,28.2,7059.28,2059.28,41.19,4423.63,44.48,0.47,0.2,ROCK,16,5,16,21,26,1.8,0.6,3.4
34,6,64.7,24.8,6780.76,1780.76,35.62,3593.45,46.69,0.5,0.2,ROCK,16,5,16,21,26,1.9,0.2,3.0
32,2,68.8,26.7,6932.25,1932.25,38.65,3395.99,41.25,0.57,0.2,ROCK,16,5,16,21,26,1.9,0.3,3.2
31,1,67.7,27.6,6797.35,1797.35,35.95,3395.99,42.07,0.53,0.2,ROCK,16,5,16,21,26,1.9,0.4,3.0
31,0,67.7,28.5,10017.72,5017.72,100.35,4028.97,33.87,1.25,1.3,ROCK,16,5,16,21,26,1.9,0.5,6.9
31,0,67.7,28.5,10017.72,5017.72,100.35,4028.97,33.87,1.25,1.3,ROCK,16,5,16,21,26,1.9,0.6,6.9
31,5,64.5,27.1,7962.87,2962.87,59.26,3712.27,41.07,0.8,0.5,ROCK,16,5,16,21,26,2.0,0.2,4.6
28,2,67.9,29.1,7123.35,2123.35,42.47,3440.96,40.68,0.62,0.3,ROCK,16,5,16,21,26,2.0,0.3,3.5
28,1,67.9,29.8,7610.25,2610.25,52.2,3440.96,38.08,0.76,0.4,ROCK,16,5,16,21,26,2.0,0.4,4.1
28,0,67.9,30.8,11571.45,6571.45,131.43,4519.35,32.89,1.45,1.9,ROCK,16,5,16,21,26,2.0,0.5,8.4
28,0,67.9,30.8,11571.45,6571.45,131.43,4519.35,32.89,1.45,1.9,ROCK,16,5,16,21,26,2.0,0.6,8.4
26,5,65.4,26.5,7148.08,2148.08,42.96,3867.15,47.07,0.56,0.2,ROCK,16,5,16,21,26,2.1,0.2,3.5
23,2,69.6,28.9,6468.73,1468.73,29.37,3581.65,43.32,0.41,0.1,ROCK,16,5,16,21,26,2.1,0.3,2.5
23,1,69.6,29.7,6910.89,1910.89,38.22,3581.65,43.32,0.53,0.2,ROCK,16,5,16,21,26,2.1,0.4,3.2
23,0,69.6,30.9,10508.07,5508.07,110.16,4601.84,36.88,1.2,1.3,ROCK,16,5,16,21,26,2.1,0.5,7.4
23,0,69.6,30.9,10508.07,5508.07,110.16,4601.84,36.88,1.2,1.3,ROCK,16,5,16,21,26,2.1,0.6,7.4
22,5,59.1,33.2,5248.18,248.18,4.96,4749.67,61.28,0.05,0.0,ROCK,16,5,16,21,26,2.2,0.2,0.5
19,2,68.4,37.1,4595.02,-404.98,-8.1,4652.65,60.03,-0.09,0.0,ROCK,16,5,16,21,26,2.2,0.3,-0.8
19,2,68.4,38.2,4048.33,-951.67,-19.03,5021.18,64.79,-0.19,0.0,ROCK,16,5,16,21,26,2.2,0.4,-2.0
19,0,68.4,39.8,7144.56,2144.56,42.89,4610.78,51.9,0.47,0.2,ROCK,16,5,16,21,26,2.2,0.5,3.5
19,0,68.4,39.8,7144.56,2144.56,42.89,4610.78,51.9,0.47,0.2,ROCK,16,5,16,21,26,2.2,0.6,3.5
19,4,68.4,38.3,7411.79,2411.79,48.24,6988.23,64.08,0.35,0.2,ROCK,16,5,16,21,26,2.3,0.2,3.9
16,2,75.0,43.1,5751.56,751.56,15.03,7321.29,67.14,0.1,0.0,ROCK,16,5,16,21,26,2.3,0.3,1.4
16,2,75.0,44.4,5067.26,67.26,1.35,7747.66,71.05,0.01,0.0,ROCK,16,5,16,21,26,2.3,0.4,0.1
16,0,75.0,46.3,8942.8,3942.8,78.86,5961.19,54.66,0.66,0.5,ROCK,16,5,16,21,26,2.3,0.5,5.7
16,0,75.0,46.3,8942.8,3942.8,78.86,5961.19,54.66,0.66,0.5,ROCK,16,5,16,21,26,2.3,0.6,5.7
16,2,75.0,45.9,9543.78,4543.78,90.88,4062.8,33.12,1.12,1.0,ROCK,16,5,16,21,26,2.4,0.2,6.4
15,1,80.0,45.6,7871.22,2871.22,57.42,5422.87,55.48,0.53,0.3,ROCK,16,5,16,21,26,2.4,0.3,4.5
15,1,80.0,45.6,7871.22,2871.22,57.42,5422.87,55.48,0.53,0.3,ROCK,16,5,16,21,26,2.4,0.4,4.5
15,0,80.0,47.5,11968.26,6968.26,139.37,4126.63,29.04,1.69,2.4,ROCK,16,5,16,21,26,2.4,0.5,8.7
15,0,80.0,47.5,11968.26,6968.26,139.37,4126.63,29.04,1.69,2.4,ROCK,16,5,16,21,26,2.4,0.6,8.7
13,2,69.2,47.9,9268.36,4268.36,85.37,3753.53,31.5,1.14,1.0,ROCK,16,5,16,21,26,2.5,0.2,6.1
12,1,75.0,47.8,7644.07,2644.07,52.88,5320.77,51.48,0.5,0.3,ROCK,16,5,16,21,26,2.5,0.3,4.2
12,1,75.0,47.8,7644.07,2644.07,52.88,5320.77,51.48,0.5,0.3,ROCK,16,5,16,21,26,2.5,0.4,4.2
12,0,75.0,50.2,11953.43,6953.43,139.07,4363.36,30.74,1.59,2.2,ROCK,16,5,16,21,26,2.5,0.5,8.7
12,0,75.0,50.2,11953.43,6953.43,139.07,4363.36,30.74,1.59,2.2,ROCK,16,5,16,21,26,2.5,0.6,8.7
9,2,66.7,47.9,7612.81,2612.81,52.26,2835.43,27.14,0.92,0.5,ROCK,16,5,16,21,26,2.6,0.2,4.1
8,1,75.0,47.6,6278.66,1278.66,25.57,4904.0,46.94,0.26,0.1,ROCK,16,5,16,21,26,2.6,0.3,2.2
8,1,75.0,47.6,6278.66,1278.66,25.57,4904.0,46.94,0.26,0.1,ROCK,16,5,16,21,26,2.6,0.4,2.2
8,0,75.0,57.9,10079.8,5079.8,101.6,4411.18,36.85,1.15,1.2,ROCK,16,5,16,21,26,2.6,0.5,7.0
8,0,75.0,57.9,10079.8,5079.8,101.6,4411.18,36.85,1.15,1.2,ROCK,16,5,16,21,26,2.6,0.6,7.0
9,2,66.7,46.2,8333.18,3333.18,66.66,3224.12,27.9,1.03,0.7,ROCK,16,5,16,21,26,2.7,0.2,5.0
8,1,75.0,45.6,6945.13,1945.13,38.9,5424.55,46.94,0.36,0.1,ROCK,16,5,16,21,26,2.7,0.3,3.2
8,0,75.0,55.9,11149.75,6149.75,123.0,4879.42,36.85,1.26,1.5,ROCK,16,5,16,21,26,2.7,0.4,8.0
8,0,75.0,55.9,11149.75,6149.75,123.0,4879.42,36.85,1.26,1.5,ROCK,16,5,16,21,26,2.7,0.5,8.0
8,0,75.0,55.9,11149.75,6149.75,123.0,4879.42,36.85,1.26,1.5,ROCK,16,5,16,21,26,2.7,0.6,8.0
5,2,60.0,38.0,5614.08,614.08,12.28,3000.16,41.32,0.2,0.0,ROCK,16,5,16,21,26,2.8,0.2,1.1
5,1,80.0,85.8,6691.45,1691.45,33.83,3853.61,43.15,0.44,0.1,ROCK,16,5,16,21,26,2.8,0.3,2.8
5,0,80.0,102.2,10742.49,5742.49,114.85,3770.65,35.1,1.52,1.7,ROCK,16,5,16,21,26,2.8,0.4,7.6
5,0,80.0,102.2,10742.49,5742.49,114.85,3770.65,35.1,1.52,1.7,ROCK,16,5,16,21,26,2.8,0.5,7.6
5,0,80.0,102.2,10742.49,5742.49,114.85,3770.65,35.1,1.52,1.7,ROCK,16,5,16,21,26,2.8,0.6,7.6
5,2,60.0,38.0,5614.08,614.08,12.28,3000.16,41.32,0.2,0.0,ROCK,16,5,16,21,26,2.9,0.2,1.1
5,1,80.0,85.8,6691.45,1691.45,33.83,3853.61,43.15,0.44,0.1,ROCK,16,5,16,21,26,2.9,0.3,2.8
5,0,80.0,102.2,10742.49,5742.49,114.85,3770.65,35.1,1.52,1.7,ROCK,16,5,16,21,26,2.9,0.4,7.6
5,0,80.0,102.2,10742.49,5742.49,114.85,3770.65,35.1,1.52,1.7,ROCK,16,5,16,21,26,2.9,0.5,7.6
5,0,80.0,102.2,10742.49,5742.49,114.85,3770.65,35.1,1.52,1.7,ROCK,16,5,16,21,26,2.9,0.6,7.6
48,7,68.8,18.6,9489.55,4489.55,89.79,6791.42,46.13,0.66,0.6,ROCK,16,8,16,24,32,1.5,0.2,6.3
42,2,64.3,21.6,6042.26,1042.26,20.85,4465.36,46.93,0.23,0.0,ROCK,16,8,16,24,32,1.5,0.3,1.8
41,1,65.9,22.1,7844.97,2844.97,56.9,7040.11,51.78,0.4,0.2,ROCK,16,8,16,24,32,1.5,0.4,4.4
41,0,65.9,22.6,8796.3,3796.3,75.93,6245.07,45.93,0.61,0.5,ROCK,16,8,16,24,32,1.5,0.5,5.6
