Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
51,1,76.5,18.4,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.5,0.2,
51,1,76.5,18.3,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.5,0.3,
50,0,76.0,18.8,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.5,0.4,
50,0,76.0,18.8,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.5,0.5,
50,0,76.0,18.8,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.5,0.6,
49,1,75.5,19.1,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.6,0.2,
49,1,75.5,19.1,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.6,0.3,
48,0,75.0,19.6,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.6,0.4,
48,0,75.0,19.6,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.6,0.5,
48,0,75.0,19.6,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.6,0.6,
44,1,79.5,20.5,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.7,0.2,
44,1,79.5,20.5,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.7,0.3,
43,0,79.1,21.1,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.7,0.4,
43,0,79.1,21.1,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.7,0.5,
43,0,79.1,21.1,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.7,0.6,
43,2,81.4,21.6,32698.57,27698.57,553.97,9307.23,22.16,2.98,16.5,SAMG,16,5,16,21,26,1.8,0.2,19.8
42,1,83.3,20.8,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.8,0.3,
41,0,82.9,21.4,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.8,0.4,
41,0,82.9,21.4,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.8,0.5,
41,0,82.9,21.4,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.8,0.6,
36,2,80.6,25.3,23018.61,18018.61,360.37,7893.16,25.53,2.28,8.2,SAMG,16,5,16,21,26,1.9,0.2,15.8
35,1,82.9,24.5,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.9,0.3,
34,0,82.4,25.3,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.9,0.4,
34,0,82.4,25.3,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.9,0.5,
34,0,82.4,25.3,,,,,0.0,999.0,,SAMG,16,5,16,21,26,1.9,0.6,
29,2,75.9,33.4,13286.42,8286.42,165.73,4611.0,25.76,1.8,3.0,SAMG,16,5,16,21,26,2.0,0.2,9.8
27,1,77.8,32.9,,,,,0.0,999.0,,SAMG,16,5,16,21,26,2.0,0.3,
27,0,77.8,34.0,,,,,0.0,999.0,,SAMG,16,5,16,21,26,2.0,0.4,
27,0,77.8,34.0,,,,,0.0,999.0,,SAMG,16,5,16,21,26,2.0,0.5,
27,0,77.8,34.0,,,,,0.0,999.0,,SAMG,16,5,16,21,26,2.0,0.6,
23,2,73.9,38.4,9983.01,4983.01,99.66,2941.6,22.94,1.69,1.7,SAMG,16,5,16,21,26,2.1,0.2,6.9
