Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
53,3,88.7,17.0,68840.9,63840.9,1276.82,5684.51,8.26,11.23,143.4,SANM,16,5,16,21,26,1.5,0.2,28.6
51,1,90.2,17.7,69951.78,64951.78,1299.04,5581.99,7.98,11.64,151.2,SANM,16,5,16,21,26,1.5,0.3,28.8
51,1,90.2,17.7,69951.78,64951.78,1299.04,5581.99,7.98,11.64,151.2,SANM,16,5,16,21,26,1.5,0.4,28.8
50,0,90.0,18.0,74526.1,69526.1,1390.52,5919.21,7.94,11.75,163.4,SANM,16,5,16,21,26,1.5,0.5,29.6
50,0,90.0,18.0,74526.1,69526.1,1390.52,5919.21,7.94,11.75,163.4,SANM,16,5,16,21,26,1.5,0.6,29.6
48,3,87.5,18.0,48186.31,43186.31,863.73,5376.26,11.16,8.03,69.4,SANM,16,5,16,21,26,1.6,0.2,24.3
47,1,89.4,18.4,54759.45,49759.45,995.19,5904.17,10.78,8.43,83.9,SANM,16,5,16,21,26,1.6,0.3,25.8
47,1,89.4,18.4,54759.45,49759.45,995.19,5904.17,10.78,8.43,83.9,SANM,16,5,16,21,26,1.6,0.4,25.8
46,0,89.1,18.9,58340.3,53340.3,1066.81,5500.9,9.43,9.7,103.5,SANM,16,5,16,21,26,1.6,0.5,26.6
46,0,89.1,18.9,58340.3,53340.3,1066.81,5500.9,9.43,9.7,103.5,SANM,16,5,16,21,26,1.6,0.6,26.6
43,3,88.4,18.9,38557.71,33557.71,671.15,5158.11,13.38,6.51,43.7,SANM,16,5,16,21,26,1.7,0.2,21.7
42,1,90.5,19.5,44942.67,39942.67,798.85,5803.45,12.91,6.88,55.0,SANM,16,5,16,21,26,1.7,0.3,23.5
41,1,90.2,19.9,32219.06,27219.06,544.38,5943.32,18.45,4.58,24.9,SANM,16,5,16,21,26,1.7,0.4,19.6
41,0,90.2,20.0,47881.58,42881.58,857.63,5380.7,11.24,7.97,68.4,SANM,16,5,16,21,26,1.7,0.5,24.2
41,0,90.2,20.0,47881.58,42881.58,857.63,5380.7,11.24,7.97,68.4,SANM,16,5,16,21,26,1.7,0.6,24.2
39,2,87.2,20.2,31889.48,26889.48,537.79,5323.97,16.7,5.05,27.2,SANM,16,5,16,21,26,1.8,0.2,19.5
39,1,89.7,20.6,41144.57,36144.57,722.89,5689.98,13.83,6.35,45.9,SANM,16,5,16,21,26,1.8,0.3,22.4
38,1,89.5,20.9,29496.23,24496.23,489.92,5827.12,19.76,4.2,20.6,SANM,16,5,16,21,26,1.8,0.4,18.6
38,0,89.5,21.1,43835.11,38835.11,776.7,5275.5,12.03,7.36,57.2,SANM,16,5,16,21,26,1.8,0.5,23.2
