Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
50,10,60.0,23.3,2181.09,-2818.91,-56.38,5773.8,76.36,-0.49,0.3,SBH,16,5,16,21,26,1.5,0.2,-7.7
45,4,64.4,25.9,3215.56,-1784.44,-35.69,5063.61,65.93,-0.35,0.1,SBH,16,5,16,21,26,1.5,0.3,-4.1
42,1,61.9,28.6,2178.69,-2821.31,-56.43,5916.21,77.03,-0.48,0.3,SBH,16,5,16,21,26,1.5,0.4,-7.7
42,1,64.3,28.6,2756.82,-2243.18,-44.86,5448.13,70.94,-0.41,0.2,SBH,16,5,16,21,26,1.5,0.5,-5.6
42,1,64.3,28.6,2505.84,-2494.16,-49.88,5651.33,73.58,-0.44,0.2,SBH,16,5,16,21,26,1.5,0.6,-6.4
47,10,61.7,23.8,2741.01,-2258.99,-45.18,5521.14,71.64,-0.41,0.2,SBH,16,5,16,21,26,1.6,0.2,-5.6
42,4,64.3,27.6,3113.46,-1886.54,-37.73,4658.68,63.36,-0.4,0.2,SBH,16,5,16,21,26,1.6,0.3,-4.4
39,1,64.1,30.6,2437.0,-2563.0,-51.26,5254.67,71.46,-0.49,0.3,SBH,16,5,16,21,26,1.6,0.4,-6.7
39,1,64.1,30.5,2669.28,-2330.72,-46.61,5054.65,68.74,-0.46,0.2,SBH,16,5,16,21,26,1.6,0.5,-5.8
39,1,64.1,30.6,2426.27,-2573.73,-51.47,5263.91,71.59,-0.49,0.3,SBH,16,5,16,21,26,1.6,0.6,-6.7
46,10,60.9,23.6,2983.07,-2016.93,-40.34,5470.43,68.66,-0.37,0.1,SBH,16,5,16,21,26,1.7,0.2,-4.8
41,4,63.4,27.5,3347.5,-1652.5,-33.05,4799.95,63.14,-0.34,0.1,SBH,16,5,16,21,26,1.7,0.3,-3.8
38,1,63.2,30.5,2652.22,-2347.78,-46.96,5382.03,70.79,-0.44,0.2,SBH,16,5,16,21,26,1.7,0.4,-5.9
38,1,63.2,30.4,2905.01,-2094.99,-41.9,5170.39,68.01,-0.41,0.2,SBH,16,5,16,21,26,1.7,0.5,-5.1
38,1,63.2,30.5,2640.55,-2359.45,-47.19,5391.8,70.92,-0.44,0.2,SBH,16,5,16,21,26,1.7,0.6,-5.9
40,10,57.5,25.6,1824.34,-3175.66,-63.51,6715.81,83.08,-0.47,0.3,SBH,16,5,16,21,26,1.8,0.2,-9.2
34,3,55.9,30.9,2113.17,-2886.83,-57.74,6161.95,79.89,-0.47,0.3,SBH,16,5,16,21,26,1.8,0.3,-7.9
34,1,58.8,32.4,2669.59,-2330.41,-46.61,5807.14,75.29,-0.4,0.2,SBH,16,5,16,21,26,1.8,0.4,-5.8
