Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
15,3,73.3,23.2,,,,,0.0,999.0,,SDRL,16,5,16,21,26,1.5,0.2,
13,1,76.9,27.0,,,,,0.0,999.0,,SDRL,16,5,16,21,26,1.5,0.3,
12,0,75.0,29.3,,,,,0.0,999.0,,SDRL,16,5,16,21,26,1.5,0.4,
12,0,75.0,29.3,,,,,0.0,999.0,,SDRL,16,5,16,21,26,1.5,0.5,
12,0,75.0,29.3,,,,,0.0,999.0,,SDRL,16,5,16,21,26,1.5,0.6,
12,2,66.7,28.5,,,,,0.0,999.0,,SDRL,16,5,16,21,26,1.6,0.2,
11,1,72.7,31.4,,,,,0.0,999.0,,SDRL,16,5,16,21,26,1.6,0.3,
10,0,70.0,34.6,,,,,0.0,999.0,,SDRL,16,5,16,21,26,1.6,0.4,
10,0,70.0,34.6,,,,,0.0,999.0,,SDRL,16,5,16,21,26,1.6,0.5,
10,0,70.0,34.6,,,,,0.0,999.0,,SDRL,16,5,16,21,26,1.6,0.6,
12,2,66.7,27.9,4478.65,-521.35,-10.43,3129.06,47.24,-0.17,0.0,SDRL,16,5,16,21,26,1.7,0.2,-3.0
11,1,72.7,30.7,4161.93,-838.07,-16.76,3376.19,50.97,-0.25,0.0,SDRL,16,5,16,21,26,1.7,0.3,-4.9
10,0,70.0,33.9,4075.52,-924.48,-18.49,3443.62,51.99,-0.27,0.0,SDRL,16,5,16,21,26,1.7,0.4,-5.5
10,0,70.0,33.9,4075.52,-924.48,-18.49,3443.62,51.99,-0.27,0.0,SDRL,16,5,16,21,26,1.7,0.5,-5.5
10,0,70.0,33.9,4075.52,-924.48,-18.49,3443.62,51.99,-0.27,0.0,SDRL,16,5,16,21,26,1.7,0.6,-5.5
11,2,63.6,27.0,4876.22,-123.78,-2.48,2613.68,41.82,-0.05,0.0,SDRL,16,5,16,21,26,1.8,0.2,-0.7
10,1,70.0,30.3,4109.52,-890.48,-17.81,3185.28,50.97,-0.28,0.0,SDRL,16,5,16,21,26,1.8,0.3,-5.2
9,0,66.7,33.8,4024.21,-975.79,-19.52,3248.89,51.99,-0.3,0.1,SDRL,16,5,16,21,26,1.8,0.4,-5.8
9,0,66.7,33.8,4024.21,-975.79,-19.52,3248.89,51.99,-0.3,0.1,SDRL,16,5,16,21,26,1.8,0.5,-5.8
9,0,66.7,33.8,4024.21,-975.79,-19.52,3248.89,51.99,-0.3,0.1,SDRL,16,5,16,21,26,1.8,0.6,-5.8
11,2,63.6,24.7,5116.75,116.75,2.34,2585.28,40.39,0.05,0.0,SDRL,16,5,16,21,26,1.9,0.2,0.6
10,1,70.0,30.2,4461.53,-538.47,-10.77,3073.79,48.03,-0.18,0.0,SDRL,16,5,16,21,26,1.9,0.3,-3.1
9,0,66.7,33.7,4368.9,-631.1,-12.62,3142.84,49.11,-0.2,0.0,SDRL,16,5,16,21,26,1.9,0.4,-3.6
9,0,66.7,33.7,4368.9,-631.1,-12.62,3142.84,49.11,-0.2,0.0,SDRL,16,5,16,21,26,1.9,0.5,-3.6
9,0,66.7,33.7,4368.9,-631.1,-12.62,3142.84,49.11,-0.2,0.0,SDRL,16,5,16,21,26,1.9,0.6,-3.6
8,2,50.0,31.6,4240.42,-759.58,-15.19,3206.97,50.36,-0.24,0.0,SDRL,16,5,16,21,26,2.0,0.2,-4.4
8,1,50.0,37.5,4171.57,-828.43,-16.57,3258.29,51.16,-0.25,0.0,SDRL,16,5,16,21,26,2.0,0.3,-4.9
8,1,62.5,37.6,4334.99,-665.01,-13.3,3136.46,49.25,-0.21,0.0,SDRL,16,5,16,21,26,2.0,0.4,-3.8
7,1,57.1,40.9,3152.14,-1847.86,-36.96,3636.59,57.1,-0.51,0.2,SDRL,16,5,16,21,26,2.0,0.5,-11.9
7,0,57.1,43.1,3740.14,-1259.86,-25.2,3579.95,56.21,-0.35,0.1,SDRL,16,5,16,21,26,2.0,0.6,-7.7
8,2,62.5,30.9,4548.07,-451.93,-9.04,3439.64,50.36,-0.13,0.0,SDRL,16,5,16,21,26,2.1,0.2,-2.6
8,1,62.5,36.8,4474.23,-525.77,-10.52,3494.69,51.16,-0.15,0.0,SDRL,16,5,16,21,26,2.1,0.3,-3.0
8,1,75.0,36.9,4649.5,-350.5,-7.01,3364.02,49.25,-0.1,0.0,SDRL,16,5,16,21,26,2.1,0.4,-2.0
7,1,71.4,40.0,3380.84,-1619.16,-32.38,3900.43,57.1,-0.42,0.1,SDRL,16,5,16,21,26,2.1,0.5,-10.2
7,0,71.4,42.3,4011.49,-988.51,-19.77,3839.68,56.21,-0.26,0.1,SDRL,16,5,16,21,26,2.1,0.6,-5.9
