Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
45,12,60.0,19.8,,,,,0.0,999.0,,SD,16,5,16,21,26,1.5,0.2,
39,3,59.0,23.8,,,,,0.0,999.0,,SD,16,5,16,21,26,1.5,0.3,
39,2,59.0,24.5,,,,,0.0,999.0,,SD,16,5,16,21,26,1.5,0.4,
38,1,60.5,25.2,,,,,0.0,999.0,,SD,16,5,16,21,26,1.5,0.5,
38,1,60.5,25.2,,,,,0.0,999.0,,SD,16,5,16,21,26,1.5,0.6,
44,11,63.6,20.2,1461.55,-3538.45,-70.77,5754.43,89.37,-0.61,0.4,SD,16,5,16,21,26,1.6,0.2,-11.9
38,3,63.2,24.4,1614.13,-3385.87,-67.72,6026.54,88.63,-0.56,0.4,SD,16,5,16,21,26,1.6,0.3,-11.0
38,2,63.2,25.2,1769.39,-3230.61,-64.61,6089.42,89.56,-0.53,0.3,SD,16,5,16,21,26,1.6,0.4,-10.2
37,1,64.9,25.9,1760.88,-3239.12,-64.78,6092.84,89.61,-0.53,0.3,SD,16,5,16,21,26,1.6,0.5,-10.2
37,1,64.9,25.9,1760.88,-3239.12,-64.78,6092.84,89.61,-0.53,0.3,SD,16,5,16,21,26,1.6,0.6,-10.2
42,10,64.3,20.9,1987.72,-3012.28,-60.25,5313.46,88.6,-0.57,0.3,SD,16,5,16,21,26,1.7,0.2,-9.1
37,3,64.9,24.9,2166.58,-2833.42,-56.67,5560.12,87.8,-0.51,0.3,SD,16,5,16,21,26,1.7,0.3,-8.3
37,2,67.6,25.6,2801.03,-2198.97,-43.98,5584.85,88.19,-0.39,0.2,SD,16,5,16,21,26,1.7,0.4,-5.8
36,1,69.4,26.3,2787.57,-2212.43,-44.25,5588.44,88.25,-0.4,0.2,SD,16,5,16,21,26,1.7,0.5,-5.9
