Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
46,8,63.0,21.3,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.5,0.2,
42,3,64.3,23.9,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.5,0.3,
40,1,65.0,25.1,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.5,0.4,
39,0,64.1,25.8,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.5,0.5,
39,0,64.1,25.8,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.5,0.6,
44,10,61.4,22.0,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.6,0.2,
39,3,61.5,25.8,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.6,0.3,
37,1,62.2,27.7,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.6,0.4,
36,0,61.1,28.5,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.6,0.5,
36,0,61.1,28.5,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.6,0.6,
40,9,60.0,23.1,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.7,0.2,
36,3,61.1,27.1,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.7,0.3,
34,1,61.8,29.1,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.7,0.4,
33,0,60.6,30.1,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.7,0.5,
33,0,60.6,30.1,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.7,0.6,
36,8,58.3,24.0,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.8,0.2,
33,4,60.6,26.4,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.8,0.3,
30,1,60.0,30.2,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.8,0.4,
29,0,58.6,31.3,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.8,0.5,
29,0,58.6,31.3,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.8,0.6,
32,7,62.5,24.3,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.9,0.2,
29,4,58.6,27.0,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.9,0.3,
26,1,57.7,30.2,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.9,0.4,
26,0,57.7,31.5,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.9,0.5,
26,0,57.7,31.5,,,,,0.0,999.0,,SHAK,16,5,16,21,26,1.9,0.6,
24,6,62.5,24.9,,,,,0.0,999.0,,SHAK,16,5,16,21,26,2.0,0.2,
23,3,60.9,28.6,,,,,0.0,999.0,,SHAK,16,5,16,21,26,2.0,0.3,
21,1,61.9,32.1,,,,,0.0,999.0,,SHAK,16,5,16,21,26,2.0,0.4,
21,0,61.9,33.7,,,,,0.0,999.0,,SHAK,16,5,16,21,26,2.0,0.5,
