Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
29,4,79.3,16.5,47141.53,42141.53,842.83,6913.92,14.67,6.1,51.4,SITM,16,5,16,21,26,1.5,0.2,40.9
28,3,82.1,17.1,43070.67,38070.67,761.41,6316.88,14.67,6.03,45.9,SITM,16,5,16,21,26,1.5,0.3,39.0
26,1,84.6,18.9,42942.6,37942.6,758.85,6298.1,14.67,6.02,45.7,SITM,16,5,16,21,26,1.5,0.4,38.9
25,0,84.0,19.8,41895.22,36895.22,737.9,6144.48,14.67,6.0,44.3,SITM,16,5,16,21,26,1.5,0.5,38.4
25,0,84.0,19.8,41895.22,36895.22,737.9,6144.48,14.67,6.0,44.3,SITM,16,5,16,21,26,1.5,0.6,38.4
26,4,80.8,16.1,38697.51,33697.51,673.95,7860.33,20.31,4.29,28.9,SITM,16,5,16,21,26,1.6,0.2,36.8
25,3,84.0,17.8,31469.19,26469.19,529.38,6392.1,20.31,4.14,21.9,SITM,16,5,16,21,26,1.6,0.3,32.5
23,0,82.6,20.4,32393.02,27393.02,547.86,6579.75,20.31,4.16,22.8,SITM,16,5,16,21,26,1.6,0.4,33.1
23,0,82.6,20.4,32393.02,27393.02,547.86,6579.75,20.31,4.16,22.8,SITM,16,5,16,21,26,1.6,0.5,33.1
23,0,82.6,20.4,32393.02,27393.02,547.86,6579.75,20.31,4.16,22.8,SITM,16,5,16,21,26,1.6,0.6,33.1
23,4,78.3,17.7,23954.1,18954.1,379.08,4652.83,19.42,4.07,15.4,SITM,16,5,16,21,26,1.7,0.2,27.1
21,3,76.2,22.1,16860.73,11860.73,237.21,3931.89,23.32,3.02,7.2,SITM,16,5,16,21,26,1.7,0.3,20.4
20,0,75.0,23.9,28299.06,23299.06,465.98,5496.79,19.42,4.24,19.8,SITM,16,5,16,21,26,1.7,0.4,30.4
20,0,75.0,23.9,28299.06,23299.06,465.98,5496.79,19.42,4.24,19.8,SITM,16,5,16,21,26,1.7,0.5,30.4
20,0,75.0,23.9,28299.06,23299.06,465.98,5496.79,19.42,4.24,19.8,SITM,16,5,16,21,26,1.7,0.6,30.4
18,4,72.2,20.0,13362.38,8362.38,167.25,2957.2,22.13,2.83,4.7,SITM,16,5,16,21,26,1.8,0.2,16.2
16,3,75.0,26.7,8859.82,3859.82,77.2,4076.15,46.01,0.95,0.7,SITM,16,5,16,21,26,1.8,0.3,9.1
15,0,73.3,29.8,16185.02,11185.02,223.7,3673.68,22.7,3.04,6.8,SITM,16,5,16,21,26,1.8,0.4,19.7
15,0,73.3,29.8,16185.02,11185.02,223.7,3673.68,22.7,3.04,6.8,SITM,16,5,16,21,26,1.8,0.5,19.7
15,0,73.3,29.8,16185.02,11185.02,223.7,3673.68,22.7,3.04,6.8,SITM,16,5,16,21,26,1.8,0.6,19.7
17,4,70.6,20.9,12986.67,7986.67,159.73,5050.37,38.89,1.58,2.5,SITM,16,5,16,21,26,1.9,0.2,15.7
16,3,75.0,25.1,13804.87,8804.87,176.1,5881.96,42.61,1.5,2.6,SITM,16,5,16,21,26,1.9,0.3,16.8
14,0,71.4,29.7,17517.77,12517.77,250.36,7872.52,44.94,1.59,4.0,SITM,16,5,16,21,26,1.9,0.4,21.1
14,0,71.4,29.7,17517.77,12517.77,250.36,7872.52,44.94,1.59,4.0,SITM,16,5,16,21,26,1.9,0.5,21.1
14,0,71.4,29.7,17517.77,12517.77,250.36,7872.52,44.94,1.59,4.0,SITM,16,5,16,21,26,1.9,0.6,21.1
13,3,69.2,25.5,12810.14,7810.14,156.2,4653.91,36.33,1.68,2.6,SITM,16,5,16,21,26,2.0,0.2,15.5
13,3,69.2,27.3,11339.25,6339.25,126.79,5044.79,44.49,1.26,1.6,SITM,16,5,16,21,26,2.0,0.3,13.3
11,0,63.6,33.5,14389.01,9389.01,187.78,6040.93,41.98,1.55,2.9,SITM,16,5,16,21,26,2.0,0.4,17.5
11,0,63.6,33.5,14389.01,9389.01,187.78,6040.93,41.98,1.55,2.9,SITM,16,5,16,21,26,2.0,0.5,17.5
11,0,63.6,33.5,14389.01,9389.01,187.78,6040.93,41.98,1.55,2.9,SITM,16,5,16,21,26,2.0,0.6,17.5
9,4,55.6,34.1,5088.37,88.37,1.77,2629.67,50.16,0.03,0.0,SITM,16,5,16,21,26,2.1,0.2,0.3
9,3,55.6,38.4,5209.23,209.23,4.18,3124.06,53.87,0.07,0.0,SITM,16,5,16,21,26,2.1,0.3,0.6
8,0,75.0,47.2,9910.44,4910.44,98.21,4628.17,46.7,1.06,1.0,SITM,16,5,16,21,26,2.1,0.4,11.0
8,0,75.0,47.2,9910.44,4910.44,98.21,4628.17,46.7,1.06,1.0,SITM,16,5,16,21,26,2.1,0.5,11.0
8,0,75.0,47.2,9910.44,4910.44,98.21,4628.17,46.7,1.06,1.0,SITM,16,5,16,21,26,2.1,0.6,11.0
8,4,50.0,34.5,3763.81,-1236.19,-24.72,3309.92,63.13,-0.37,0.1,SITM,16,5,16,21,26,2.2,0.2,-4.3
8,3,50.0,40.4,4283.32,-716.68,-14.33,4246.93,65.88,-0.17,0.0,SITM,16,5,16,21,26,2.2,0.3,-2.3
7,0,85.7,55.0,10015.86,5015.86,100.32,4677.4,46.7,1.07,1.1,SITM,16,5,16,21,26,2.2,0.4,11.2
7,0,85.7,55.0,10015.86,5015.86,100.32,4677.4,46.7,1.07,1.1,SITM,16,5,16,21,26,2.2,0.5,11.2
7,0,85.7,55.0,10015.86,5015.86,100.32,4677.4,46.7,1.07,1.1,SITM,16,5,16,21,26,2.2,0.6,11.2
7,3,57.1,35.3,5310.67,310.67,6.21,2638.23,49.17,0.12,0.0,SITM,16,5,16,21,26,2.3,0.2,0.9
7,2,57.1,38.7,6827.65,1827.65,36.55,3391.83,49.17,0.54,0.2,SITM,16,5,16,21,26,2.3,0.3,4.9
6,0,83.3,53.0,9562.02,4562.02,91.24,4465.46,46.7,1.02,0.9,SITM,16,5,16,21,26,2.3,0.4,10.4
6,0,83.3,53.0,9562.02,4562.02,91.24,4465.46,46.7,1.02,0.9,SITM,16,5,16,21,26,2.3,0.5,10.4
6,0,83.3,53.0,9562.02,4562.02,91.24,4465.46,46.7,1.02,0.9,SITM,16,5,16,21,26,2.3,0.6,10.4
4,2,50.0,38.2,3220.13,-1779.87,-35.6,2605.89,50.66,-0.68,0.2,SITM,16,5,16,21,26,2.4,0.2,-6.5
4,2,50.0,38.2,3220.13,-1779.87,-35.6,2605.89,50.66,-0.68,0.2,SITM,16,5,16,21,26,2.4,0.3,-6.5
4,0,100.0,55.8,7129.8,2129.8,42.6,3329.61,46.7,0.64,0.3,SITM,16,5,16,21,26,2.4,0.4,5.6
4,0,100.0,55.8,7129.8,2129.8,42.6,3329.61,46.7,0.64,0.3,SITM,16,5,16,21,26,2.4,0.5,5.6
4,0,100.0,55.8,7129.8,2129.8,42.6,3329.61,46.7,0.64,0.3,SITM,16,5,16,21,26,2.4,0.6,5.6
3,2,33.3,43.7,2669.17,-2330.83,-46.62,2474.45,48.11,-0.94,0.4,SITM,16,5,16,21,26,2.5,0.2,-9.2
3,2,33.3,43.7,2669.17,-2330.83,-46.62,2474.45,48.11,-0.94,0.4,SITM,16,5,16,21,26,2.5,0.3,-9.2
3,0,100.0,67.0,5909.9,909.9,18.2,3329.61,47.63,0.27,0.0,SITM,16,5,16,21,26,2.5,0.4,2.6
3,0,100.0,67.0,5909.9,909.9,18.2,3329.61,47.63,0.27,0.0,SITM,16,5,16,21,26,2.5,0.5,2.6
3,0,100.0,67.0,5909.9,909.9,18.2,3329.61,47.63,0.27,0.0,SITM,16,5,16,21,26,2.5,0.6,2.6
24,4,79.2,18.8,24073.28,19073.28,381.47,4586.6,19.05,4.16,15.9,SITM,16,8,16,24,32,1.5,0.2,27.2
23,3,78.3,19.7,21994.46,16994.46,339.89,4190.53,19.05,4.06,13.8,SITM,16,8,16,24,32,1.5,0.3,25.4
21,1,76.2,22.3,20056.31,15056.31,301.13,3838.74,19.14,3.92,11.8,SITM,16,8,16,24,32,1.5,0.4,23.7
20,0,75.0,23.6,19567.13,14567.13,291.34,3948.78,20.18,3.69,10.8,SITM,16,8,16,24,32,1.5,0.5,23.2
20,0,75.0,23.6,19567.13,14567.13,291.34,3948.78,20.18,3.69,10.8,SITM,16,8,16,24,32,1.5,0.6,23.2
23,5,73.9,19.0,15188.46,10188.46,203.77,3836.1,25.26,2.66,5.4,SITM,16,8,16,24,32,1.6,0.2,18.5
22,4,72.7,21.9,11794.82,6794.82,135.9,3946.95,33.46,1.72,2.3,SITM,16,8,16,24,32,1.6,0.3,14.0
18,0,66.7,27.6,10550.03,5550.03,111.0,4117.22,39.03,1.35,1.5,SITM,16,8,16,24,32,1.6,0.4,12.1
18,0,66.7,27.6,10550.03,5550.03,111.0,4117.22,39.03,1.35,1.5,SITM,16,8,16,24,32,1.6,0.5,12.1
18,0,66.7,27.6,10550.03,5550.03,111.0,4117.22,39.03,1.35,1.5,SITM,16,8,16,24,32,1.6,0.6,12.1
20,5,70.0,18.4,9334.21,4334.21,86.68,3675.64,39.38,1.18,1.0,SITM,16,8,16,24,32,1.7,0.2,10.0
19,4,73.7,22.7,8122.9,3122.9,62.46,6282.85,60.08,0.5,0.3,SITM,16,8,16,24,32,1.7,0.3,7.7
16,1,68.8,28.6,6564.41,1564.41,31.29,6685.74,66.47,0.23,0.1,SITM,16,8,16,24,32,1.7,0.4,4.3
16,0,68.8,29.2,8012.52,3012.52,60.25,5941.64,59.07,0.51,0.3,SITM,16,8,16,24,32,1.7,0.5,7.5
16,0,68.8,29.2,8012.52,3012.52,60.25,5941.64,59.07,0.51,0.3,SITM,16,8,16,24,32,1.7,0.6,7.5
15,4,66.7,20.1,9072.29,4072.29,81.45,4515.76,44.04,0.9,0.7,SITM,16,8,16,24,32,1.8,0.2,9.5
14,3,71.4,24.6,9406.19,4406.19,88.12,9028.87,60.28,0.49,0.4,SITM,16,8,16,24,32,1.8,0.3,10.1
12,0,66.7,29.9,11936.04,6936.04,138.72,8100.42,51.76,0.86,1.2,SITM,16,8,16,24,32,1.8,0.4,14.2
12,0,66.7,29.9,11936.04,6936.04,138.72,8100.42,51.76,0.86,1.2,SITM,16,8,16,24,32,1.8,0.5,14.2
12,0,66.7,29.9,11936.04,6936.04,138.72,8100.42,51.76,0.86,1.2,SITM,16,8,16,24,32,1.8,0.6,14.2
13,4,61.5,21.7,5196.41,196.41,3.93,2663.64,44.76,0.07,0.0,SITM,16,8,16,24,32,1.9,0.2,0.6
12,3,66.7,27.1,5582.99,582.99,11.66,5359.03,60.28,0.11,0.0,SITM,16,8,16,24,32,1.9,0.3,1.7
10,0,60.0,33.9,7084.57,2084.57,41.69,4807.95,51.76,0.43,0.2,SITM,16,8,16,24,32,1.9,0.4,5.5
10,0,60.0,33.9,7084.57,2084.57,41.69,4807.95,51.76,0.43,0.2,SITM,16,8,16,24,32,1.9,0.5,5.5
10,0,60.0,33.9,7084.57,2084.57,41.69,4807.95,51.76,0.43,0.2,SITM,16,8,16,24,32,1.9,0.6,5.5
11,3,63.6,27.9,7297.92,2297.92,45.96,5297.6,55.12,0.43,0.2,SITM,16,8,16,24,32,2.0,0.2,6.0
11,3,63.6,30.0,6459.96,1459.96,29.2,5792.79,60.28,0.25,0.1,SITM,16,8,16,24,32,2.0,0.3,4.0
9,0,55.6,38.2,8197.4,3197.4,63.95,5197.1,51.76,0.62,0.4,SITM,16,8,16,24,32,2.0,0.4,7.9
9,0,55.6,38.2,8197.4,3197.4,63.95,5197.1,51.76,0.62,0.4,SITM,16,8,16,24,32,2.0,0.5,7.9
9,0,55.6,38.2,8197.4,3197.4,63.95,5197.1,51.76,0.62,0.4,SITM,16,8,16,24,32,2.0,0.6,7.9
6,4,33.3,31.8,2353.8,-2646.2,-52.92,3784.53,72.18,-0.7,0.4,SITM,16,8,16,24,32,2.1,0.2,-10.9
6,3,33.3,38.3,2409.71,-2590.29,-51.81,3749.89,71.52,-0.69,0.4,SITM,16,8,16,24,32,2.1,0.3,-10.6
5,0,60.0,52.4,4584.42,-415.58,-8.31,2582.84,47.63,-0.16,0.0,SITM,16,8,16,24,32,2.1,0.4,-1.3
5,0,60.0,52.4,4584.42,-415.58,-8.31,2582.84,47.63,-0.16,0.0,SITM,16,8,16,24,32,2.1,0.5,-1.3
5,0,60.0,52.4,4584.42,-415.58,-8.31,2582.84,47.63,-0.16,0.0,SITM,16,8,16,24,32,2.1,0.6,-1.3
6,3,50.0,44.2,5564.85,564.85,11.3,4235.32,55.12,0.13,0.0,SITM,16,8,16,24,32,2.2,0.2,1.7
6,2,50.0,52.0,6332.95,1332.95,26.66,5954.1,60.28,0.22,0.1,SITM,16,8,16,24,32,2.2,0.3,3.7
5,0,80.0,65.6,9895.82,4895.82,97.92,5575.26,47.63,0.88,0.9,SITM,16,8,16,24,32,2.2,0.4,11.0
5,0,80.0,65.6,9895.82,4895.82,97.92,5575.26,47.63,0.88,0.9,SITM,16,8,16,24,32,2.2,0.5,11.0
5,0,80.0,65.6,9895.82,4895.82,97.92,5575.26,47.63,0.88,0.9,SITM,16,8,16,24,32,2.2,0.6,11.0
5,2,60.0,46.8,7049.16,2049.16,40.98,3436.7,44.04,0.6,0.2,SITM,16,8,16,24,32,2.3,0.2,5.4
5,1,60.0,51.6,9062.74,4062.74,81.25,4418.38,44.04,0.92,0.7,SITM,16,8,16,24,32,2.3,0.3,9.5
4,0,75.0,64.8,8481.56,3481.56,69.63,4778.47,47.63,0.73,0.5,SITM,16,8,16,24,32,2.3,0.4,8.4
4,0,75.0,64.8,8481.56,3481.56,69.63,4778.47,47.63,0.73,0.5,SITM,16,8,16,24,32,2.3,0.5,8.4
4,0,75.0,64.8,8481.56,3481.56,69.63,4778.47,47.63,0.73,0.5,SITM,16,8,16,24,32,2.3,0.6,8.4
3,1,66.7,53.7,5743.25,743.25,14.87,4309.24,42.87,0.17,0.0,SITM,16,8,16,24,32,2.4,0.2,2.1
3,1,66.7,53.7,5743.25,743.25,14.87,4309.24,42.87,0.17,0.0,SITM,16,8,16,24,32,2.4,0.3,2.1
3,0,100.0,61.7,8497.67,3497.67,69.95,4787.55,47.63,0.73,0.5,SITM,16,8,16,24,32,2.4,0.4,8.4
3,0,100.0,61.7,8497.67,3497.67,69.95,4787.55,47.63,0.73,0.5,SITM,16,8,16,24,32,2.4,0.5,8.4
3,0,100.0,61.7,8497.67,3497.67,69.95,4787.55,47.63,0.73,0.5,SITM,16,8,16,24,32,2.4,0.6,8.4
3,1,66.7,53.7,5743.25,743.25,14.87,4309.24,42.87,0.17,0.0,SITM,16,8,16,24,32,2.5,0.2,2.1
3,1,66.7,53.7,5743.25,743.25,14.87,4309.24,42.87,0.17,0.0,SITM,16,8,16,24,32,2.5,0.3,2.1
3,0,100.0,61.7,8497.67,3497.67,69.95,4787.55,47.63,0.73,0.5,SITM,16,8,16,24,32,2.5,0.4,8.4
3,0,100.0,61.7,8497.67,3497.67,69.95,4787.55,47.63,0.73,0.5,SITM,16,8,16,24,32,2.5,0.5,8.4
3,0,100.0,61.7,8497.67,3497.67,69.95,4787.55,47.63,0.73,0.5,SITM,16,8,16,24,32,2.5,0.6,8.4
22,4,77.3,18.3,17331.24,12331.24,246.62,3302.07,19.05,3.73,9.2,SITM,16,10,16,26,36,1.5,0.2,20.9
22,3,81.8,19.5,21453.35,16453.35,329.07,4654.86,21.7,3.53,11.6,SITM,16,10,16,26,36,1.5,0.3,25.0
20,1,80.0,22.5,18243.49,13243.49,264.87,5002.39,27.42,2.65,7.0,SITM,16,10,16,26,36,1.5,0.4,21.9
19,0,78.9,23.8,17798.53,12798.53,255.97,5099.93,28.65,2.51,6.4,SITM,16,10,16,26,36,1.5,0.5,21.4
19,0,78.9,23.8,17798.53,12798.53,255.97,5099.93,28.65,2.51,6.4,SITM,16,10,16,26,36,1.5,0.6,21.4
21,4,76.2,17.0,21228.68,16228.68,324.57,4380.63,20.64,3.7,12.0,SITM,16,10,16,26,36,1.6,0.2,24.8
20,3,80.0,20.1,19580.43,14580.43,291.61,6252.98,31.93,2.33,6.8,SITM,16,10,16,26,36,1.6,0.3,23.2
19,0,78.9,22.8,24075.71,19075.71,381.51,5424.22,22.53,3.52,13.4,SITM,16,10,16,26,36,1.6,0.4,27.2
19,0,78.9,22.8,24075.71,19075.71,381.51,5424.22,22.53,3.52,13.4,SITM,16,10,16,26,36,1.6,0.5,27.2
19,0,78.9,22.8,24075.71,19075.71,381.51,5424.22,22.53,3.52,13.4,SITM,16,10,16,26,36,1.6,0.6,27.2
18,5,66.7,17.8,9252.96,4252.96,85.06,5791.4,51.47,0.73,0.6,SITM,16,10,16,26,36,1.7,0.2,9.9
16,3,68.8,24.0,9395.24,4395.24,87.9,8414.31,60.28,0.52,0.5,SITM,16,10,16,26,36,1.7,0.3,10.1
14,0,64.3,28.5,10084.56,5084.56,101.69,7476.25,55.68,0.68,0.7,SITM,16,10,16,26,36,1.7,0.4,11.3
14,0,64.3,28.5,10084.56,5084.56,101.69,7476.25,55.68,0.68,0.7,SITM,16,10,16,26,36,1.7,0.5,11.3
14,0,64.3,28.5,10084.56,5084.56,101.69,7476.25,55.68,0.68,0.7,SITM,16,10,16,26,36,1.7,0.6,11.3
15,4,73.3,19.6,11627.3,6627.3,132.55,5960.05,44.76,1.11,1.5,SITM,16,10,16,26,36,1.8,0.2,13.8
14,3,78.6,25.6,11064.85,6064.85,121.3,10620.99,60.28,0.57,0.7,SITM,16,10,16,26,36,1.8,0.3,12.9
12,0,75.0,31.7,12926.69,7926.69,158.53,8772.72,51.76,0.9,1.4,SITM,16,10,16,26,36,1.8,0.4,15.6
12,0,75.0,31.7,12926.69,7926.69,158.53,8772.72,51.76,0.9,1.4,SITM,16,10,16,26,36,1.8,0.5,15.6
12,0,75.0,31.7,12926.69,7926.69,158.53,8772.72,51.76,0.9,1.4,SITM,16,10,16,26,36,1.8,0.6,15.6
13,3,76.9,20.6,15224.75,10224.75,204.49,7578.16,44.04,1.35,2.8,SITM,16,10,16,26,36,1.9,0.2,18.6
12,2,83.3,25.7,12713.33,7713.33,154.27,12203.35,60.28,0.63,1.0,SITM,16,10,16,26,36,1.9,0.3,15.3
11,0,90.9,29.5,19865.75,14865.75,297.31,11426.88,47.63,1.3,3.9,SITM,16,10,16,26,36,1.9,0.4,23.5
11,0,90.9,29.5,19865.75,14865.75,297.31,11426.88,47.63,1.3,3.9,SITM,16,10,16,26,36,1.9,0.5,23.5
11,0,90.9,29.5,19865.75,14865.75,297.31,11426.88,47.63,1.3,3.9,SITM,16,10,16,26,36,1.9,0.6,23.5
8,2,75.0,34.6,8481.52,3481.52,69.63,7427.63,55.12,0.47,0.3,SITM,16,10,16,26,36,2.0,0.2,8.4
8,2,75.0,37.5,7507.65,2507.65,50.15,8121.92,60.28,0.31,0.2,SITM,16,10,16,26,36,2.0,0.3,6.4
7,0,85.7,45.1,11731.39,6731.39,134.63,7605.14,47.63,0.89,1.2,SITM,16,10,16,26,36,2.0,0.4,13.9
