Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
49,10,69.4,16.6,2597.19,-2402.81,-48.06,9054.55,87.83,-0.27,0.1,SMTC,16,5,16,21,26,1.5,0.2,-6.1
45,4,68.9,18.8,3827.06,-1172.94,-23.46,8268.9,81.72,-0.14,0.0,SMTC,16,5,16,21,26,1.5,0.3,-2.5
42,4,71.4,19.4,2236.94,-2763.06,-55.26,9002.83,88.98,-0.31,0.2,SMTC,16,5,16,21,26,1.5,0.4,-7.4
41,0,70.7,20.8,4210.65,-789.35,-15.79,8083.53,79.89,-0.1,0.0,SMTC,16,5,16,21,26,1.5,0.5,-1.6
41,0,70.7,20.8,4210.65,-789.35,-15.79,8083.53,79.89,-0.1,0.0,SMTC,16,5,16,21,26,1.5,0.6,-1.6
44,10,65.9,18.2,1981.08,-3018.92,-60.38,8752.95,91.1,-0.34,0.2,SMTC,16,5,16,21,26,1.6,0.2,-8.5
42,4,66.7,20.3,4131.45,-868.55,-17.37,7824.86,81.44,-0.11,0.0,SMTC,16,5,16,21,26,1.6,0.3,-1.8
39,4,69.2,21.1,2299.76,-2700.24,-54.0,8583.76,89.34,-0.31,0.2,SMTC,16,5,16,21,26,1.6,0.4,-7.2
38,0,68.4,22.6,4328.91,-671.09,-13.42,7739.64,80.55,-0.09,0.0,SMTC,16,5,16,21,26,1.6,0.5,-1.4
38,0,68.4,22.6,4328.91,-671.09,-13.42,7739.64,80.55,-0.09,0.0,SMTC,16,5,16,21,26,1.6,0.6,-1.4
42,10,64.3,19.7,1887.1,-3112.9,-62.26,10846.84,92.08,-0.29,0.2,SMTC,16,5,16,21,26,1.7,0.2,-8.9
40,4,65.0,22.0,4534.29,-465.71,-9.31,10417.22,82.28,-0.04,0.0,SMTC,16,5,16,21,26,1.7,0.3,-0.9
37,4,67.6,23.1,2117.59,-2882.41,-57.65,10699.43,90.83,-0.27,0.2,SMTC,16,5,16,21,26,1.7,0.4,-7.9
36,0,66.7,24.7,3986.0,-1014.0,-20.28,9808.65,83.26,-0.1,0.0,SMTC,16,5,16,21,26,1.7,0.5,-2.2
36,0,66.7,24.7,3986.0,-1014.0,-20.28,9808.65,83.26,-0.1,0.0,SMTC,16,5,16,21,26,1.7,0.6,-2.2
40,9,65.0,20.6,3664.3,-1335.7,-26.71,7819.49,81.93,-0.17,0.0,SMTC,16,5,16,21,26,1.8,0.2,-2.9
38,4,65.8,22.4,5964.06,964.06,19.28,8338.01,74.81,0.12,0.0,SMTC,16,5,16,21,26,1.8,0.3,1.7
35,4,65.7,24.0,1877.53,-3122.47,-62.45,8586.13,89.96,-0.36,0.2,SMTC,16,5,16,21,26,1.8,0.4,-9.0
34,0,64.7,25.8,4271.73,-728.27,-14.57,7533.55,78.93,-0.1,0.0,SMTC,16,5,16,21,26,1.8,0.5,-1.5
34,0,64.7,25.8,4271.73,-728.27,-14.57,7533.55,78.93,-0.1,0.0,SMTC,16,5,16,21,26,1.8,0.6,-1.5
33,7,66.7,21.6,6107.51,1107.51,22.15,7922.9,76.19,0.14,0.0,SMTC,16,5,16,21,26,1.9,0.2,1.9
32,3,68.8,24.0,9417.49,4417.49,88.35,8640.73,69.36,0.51,0.5,SMTC,16,5,16,21,26,1.9,0.3,6.3
