Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
43,2,74.4,16.4,23622.71,18622.71,372.45,3945.05,16.7,4.72,17.6,SPXC,16,5,16,21,26,1.5,0.2,16.1
43,1,76.7,16.7,30426.89,25426.89,508.54,5081.37,16.7,5.0,25.4,SPXC,16,5,16,21,26,1.5,0.3,18.9
43,1,76.7,16.7,25408.17,20408.17,408.16,4356.59,17.15,4.68,19.1,SPXC,16,5,16,21,26,1.5,0.4,16.9
42,0,76.2,17.1,26812.28,21812.28,436.25,4477.72,16.7,4.87,21.2,SPXC,16,5,16,21,26,1.5,0.5,17.5
42,0,76.2,17.1,26812.28,21812.28,436.25,4477.72,16.7,4.87,21.2,SPXC,16,5,16,21,26,1.5,0.6,17.5
39,2,76.9,17.7,24744.47,19744.47,394.89,4359.81,17.62,4.53,17.9,SPXC,16,5,16,21,26,1.6,0.2,16.6
39,1,79.5,17.9,31871.76,26871.76,537.44,5615.59,17.62,4.79,25.7,SPXC,16,5,16,21,26,1.6,0.3,19.5
39,1,79.5,18.0,26614.71,21614.71,432.29,4689.33,17.62,4.61,19.9,SPXC,16,5,16,21,26,1.6,0.4,17.4
38,0,78.9,18.5,28085.5,23085.5,461.71,4948.48,17.62,4.67,21.6,SPXC,16,5,16,21,26,1.6,0.5,18.0
38,0,78.9,18.5,28085.5,23085.5,461.71,4948.48,17.62,4.67,21.6,SPXC,16,5,16,21,26,1.6,0.6,18.0
33,2,72.7,19.8,17754.4,12754.4,255.09,3696.17,20.82,3.45,8.8,SPXC,16,5,16,21,26,1.7,0.2,12.9
33,1,75.8,20.1,22868.3,17868.3,357.37,4424.97,19.35,4.04,14.4,SPXC,16,5,16,21,26,1.7,0.3,15.7
32,1,75.0,20.3,16883.15,11883.15,237.66,3976.43,23.55,2.99,7.1,SPXC,16,5,16,21,26,1.7,0.4,12.4
32,0,75.0,20.8,20151.62,15151.62,303.03,4275.69,21.22,3.54,10.7,SPXC,16,5,16,21,26,1.7,0.5,14.3
32,0,75.0,20.8,20151.62,15151.62,303.03,4275.69,21.22,3.54,10.7,SPXC,16,5,16,21,26,1.7,0.6,14.3
31,2,74.2,20.7,18760.11,13760.11,275.2,4351.34,23.19,3.16,8.7,SPXC,16,5,16,21,26,1.8,0.2,13.5
31,1,77.4,21.1,24163.69,19163.69,383.27,4675.62,19.35,4.1,15.7,SPXC,16,5,16,21,26,1.8,0.3,16.3
30,1,76.7,21.4,17839.51,12839.51,256.79,4681.28,26.24,2.74,7.0,SPXC,16,5,16,21,26,1.8,0.4,13.0
30,0,76.7,21.9,21293.13,16293.13,325.86,5033.58,23.64,3.24,10.6,SPXC,16,5,16,21,26,1.8,0.5,14.9
30,0,76.7,21.9,21293.13,16293.13,325.86,5033.58,23.64,3.24,10.6,SPXC,16,5,16,21,26,1.8,0.6,14.9
26,1,80.8,20.5,23837.95,18837.95,376.76,4428.36,18.58,4.25,16.0,SPXC,16,5,16,21,26,1.9,0.2,16.2
26,1,80.8,20.5,25367.75,20367.75,407.36,4712.54,18.58,4.32,17.6,SPXC,16,5,16,21,26,1.9,0.3,16.9
25,1,80.0,20.9,17469.33,12469.33,249.39,4901.42,28.06,2.54,6.3,SPXC,16,5,16,21,26,1.9,0.4,12.8
25,0,80.0,21.4,22354.15,17354.15,347.08,4820.98,21.57,3.6,12.5,SPXC,16,5,16,21,26,1.9,0.5,15.5
25,0,80.0,21.4,22354.15,17354.15,347.08,4820.98,21.57,3.6,12.5,SPXC,16,5,16,21,26,1.9,0.6,15.5
22,1,77.3,22.5,21210.19,16210.19,324.2,5731.19,25.86,2.83,9.2,SPXC,16,5,16,21,26,2.0,0.2,14.9
22,1,77.3,22.5,22571.36,17571.36,351.43,5173.02,21.94,3.4,11.9,SPXC,16,5,16,21,26,2.0,0.3,15.6
21,1,76.2,23.0,15543.61,10543.61,210.87,6272.57,38.63,1.68,3.5,SPXC,16,5,16,21,26,2.0,0.4,11.5
21,0,76.2,23.6,19889.96,14889.96,297.8,6272.57,30.18,2.37,7.1,SPXC,16,5,16,21,26,2.0,0.5,14.2
21,0,76.2,23.6,19889.96,14889.96,297.8,6272.57,30.18,2.37,7.1,SPXC,16,5,16,21,26,2.0,0.6,14.2
21,1,76.2,22.7,22200.37,17200.37,344.01,5504.18,23.73,3.12,10.7,SPXC,16,5,16,21,26,2.1,0.2,15.4
21,1,76.2,22.7,23625.08,18625.08,372.5,4986.85,20.2,3.73,13.9,SPXC,16,5,16,21,26,2.1,0.3,16.1
20,1,75.0,23.2,15414.65,10414.65,208.29,6024.12,37.41,1.73,3.6,SPXC,16,5,16,21,26,2.1,0.4,11.4
