Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
45,11,57.8,19.3,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.5,0.2,
39,3,56.4,23.5,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.5,0.3,
37,1,56.8,25.8,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.5,0.4,
36,0,55.6,26.5,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.5,0.5,
36,0,55.6,26.5,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.5,0.6,
41,10,56.1,20.8,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.6,0.2,
36,3,58.3,25.4,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.6,0.3,
34,1,55.9,28.1,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.6,0.4,
33,0,54.5,29.0,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.6,0.5,
33,0,54.5,29.0,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.6,0.6,
38,9,57.9,21.7,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.7,0.2,
33,3,57.6,27.2,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.7,0.3,
32,1,56.2,29.7,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.7,0.4,
31,0,54.8,30.7,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.7,0.5,
31,0,54.8,30.7,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.7,0.6,
35,8,60.0,22.1,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.8,0.2,
30,2,56.7,28.8,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.8,0.3,
30,1,56.7,29.9,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.8,0.4,
29,0,55.2,31.0,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.8,0.5,
29,0,55.2,31.0,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.8,0.6,
30,9,63.3,24.3,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.9,0.2,
26,2,57.7,32.5,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.9,0.3,
26,1,57.7,33.8,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.9,0.4,
25,0,56.0,35.2,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.9,0.5,
25,0,56.0,35.2,,,,,0.0,999.0,,SSTK,16,5,16,21,26,1.9,0.6,
28,9,60.7,25.0,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.0,0.2,
24,3,54.2,34.3,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.0,0.3,
24,1,54.2,36.7,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.0,0.4,
23,0,52.2,38.3,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.0,0.5,
23,0,52.2,38.3,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.0,0.6,
23,8,56.5,27.9,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.1,0.2,
20,3,50.0,38.1,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.1,0.3,
20,1,50.0,41.0,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.1,0.4,
19,0,47.4,43.2,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.1,0.5,
19,0,47.4,43.2,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.1,0.6,
19,8,47.4,32.2,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.2,0.2,
17,3,47.1,47.0,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.2,0.3,
17,1,47.1,50.3,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.2,0.4,
16,0,43.8,53.6,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.2,0.5,
16,0,43.8,53.6,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.2,0.6,
17,8,41.2,40.8,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.3,0.2,
15,2,40.0,57.5,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.3,0.3,
15,0,40.0,60.9,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.3,0.4,
15,0,40.0,60.9,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.3,0.5,
15,0,40.0,60.9,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.3,0.6,
15,4,60.0,55.1,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.4,0.2,
14,1,64.3,66.8,,,,,0.0,999.0,,SSTK,16,5,16,21,26,2.4,0.3,
