Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
49,11,63.3,19.4,6403.65,1403.65,28.07,7374.45,61.02,0.19,0.1,STAA,16,5,16,21,26,1.5,0.2,2.4
45,4,64.4,21.8,8742.28,3742.28,74.85,5023.42,43.01,0.74,0.6,STAA,16,5,16,21,26,1.5,0.3,5.5
43,1,65.1,23.2,9646.97,4646.97,92.94,5509.05,43.01,0.84,0.8,STAA,16,5,16,21,26,1.5,0.4,6.5
42,0,64.3,23.8,9638.02,4638.02,92.76,5503.94,43.01,0.84,0.8,STAA,16,5,16,21,26,1.5,0.5,6.5
42,0,64.3,23.8,9638.02,4638.02,92.76,5503.94,43.01,0.84,0.8,STAA,16,5,16,21,26,1.5,0.6,6.5
46,10,63.0,20.1,7581.2,2581.2,51.62,5821.23,52.85,0.44,0.2,STAA,16,5,16,21,26,1.6,0.2,4.1
41,4,63.4,22.2,8500.29,3500.29,70.01,5168.81,37.81,0.68,0.5,STAA,16,5,16,21,26,1.6,0.3,5.2
40,1,65.0,23.9,10760.01,5760.01,115.2,5333.69,37.81,1.08,1.2,STAA,16,5,16,21,26,1.6,0.4,7.6
39,0,64.1,24.6,10279.73,5279.73,105.59,5095.62,37.81,1.04,1.1,STAA,16,5,16,21,26,1.6,0.5,7.2
39,0,64.1,24.6,10279.73,5279.73,105.59,5095.62,37.81,1.04,1.1,STAA,16,5,16,21,26,1.6,0.6,7.2
43,10,65.1,21.8,7668.45,2668.45,53.37,9052.54,62.88,0.29,0.2,STAA,16,5,16,21,26,1.7,0.2,4.2
39,5,69.2,23.4,8938.2,3938.2,78.76,8943.81,53.23,0.44,0.3,STAA,16,5,16,21,26,1.7,0.3,5.7
38,2,71.1,25.3,11314.34,6314.34,126.29,9229.12,53.23,0.68,0.9,STAA,16,5,16,21,26,1.7,0.4,8.2
36,0,69.4,26.8,10468.25,5468.25,109.36,9061.62,54.71,0.6,0.7,STAA,16,5,16,21,26,1.7,0.5,7.4
36,0,69.4,26.8,10468.25,5468.25,109.36,9061.62,54.71,0.6,0.7,STAA,16,5,16,21,26,1.7,0.6,7.4
39,9,61.5,23.6,5163.14,163.14,3.26,5390.99,57.73,0.03,0.0,STAA,16,5,16,21,26,1.8,0.2,0.3
38,5,68.4,25.2,7717.86,2717.86,54.36,6957.27,51.28,0.39,0.2,STAA,16,5,16,21,26,1.8,0.3,4.3
36,2,69.4,27.1,9272.45,4272.45,85.45,6722.41,50.94,0.64,0.5,STAA,16,5,16,21,26,1.8,0.4,6.1
35,0,68.6,28.5,9361.01,4361.01,87.22,7316.06,52.81,0.6,0.5,STAA,16,5,16,21,26,1.8,0.5,6.2
35,0,68.6,28.5,9361.01,4361.01,87.22,7316.06,52.81,0.6,0.5,STAA,16,5,16,21,26,1.8,0.6,6.2
37,9,59.5,25.2,4430.79,-569.21,-11.38,6964.12,68.65,-0.08,0.0,STAA,16,5,16,21,26,1.9,0.2,-1.2
35,5,65.7,28.0,5806.18,806.18,16.12,4913.8,51.28,0.16,0.0,STAA,16,5,16,21,26,1.9,0.3,1.4
34,2,67.6,29.1,8664.87,3664.87,73.3,5897.63,50.94,0.62,0.5,STAA,16,5,16,21,26,1.9,0.4,5.4
33,0,66.7,30.6,8755.74,3755.74,75.11,6424.4,52.81,0.58,0.4,STAA,16,5,16,21,26,1.9,0.5,5.5
33,0,66.7,30.6,8755.74,3755.74,75.11,6424.4,52.81,0.58,0.4,STAA,16,5,16,21,26,1.9,0.6,5.5
33,7,60.6,26.4,4666.09,-333.91,-6.68,7366.05,64.43,-0.05,0.0,STAA,16,5,16,21,26,2.0,0.2,-0.7
32,5,65.6,29.0,3887.35,-1112.65,-22.25,5165.36,57.64,-0.22,0.0,STAA,16,5,16,21,26,2.0,0.3,-2.4
31,2,64.5,30.3,5781.34,781.34,15.63,7277.37,61.26,0.11,0.0,STAA,16,5,16,21,26,2.0,0.4,1.4
30,0,63.3,31.9,5841.97,841.97,16.84,7229.1,60.85,0.12,0.0,STAA,16,5,16,21,26,2.0,0.5,1.5
30,0,63.3,31.9,5841.97,841.97,16.84,7229.1,60.85,0.12,0.0,STAA,16,5,16,21,26,2.0,0.6,1.5
27,7,66.7,27.7,4539.39,-460.61,-9.21,7354.91,64.94,-0.06,0.0,STAA,16,5,16,21,26,2.1,0.2,-0.9
26,5,73.1,30.4,5286.82,286.82,5.74,5396.39,50.51,0.05,0.0,STAA,16,5,16,21,26,2.1,0.3,0.5
26,3,73.1,32.7,4909.61,-90.39,-1.81,8266.66,67.38,-0.01,0.0,STAA,16,5,16,21,26,2.1,0.4,-0.2
24,1,70.8,36.9,3930.41,-1069.59,-21.39,9064.9,73.89,-0.12,0.0,STAA,16,5,16,21,26,2.1,0.5,-2.3
23,0,69.6,40.3,3405.72,-1594.28,-31.89,9492.62,77.37,-0.17,0.1,STAA,16,5,16,21,26,2.1,0.6,-3.6
24,7,62.5,28.4,4150.4,-849.6,-16.99,7057.01,66.53,-0.12,0.0,STAA,16,5,16,21,26,2.2,0.2,-1.8
23,4,69.6,32.4,5204.89,204.89,4.1,6284.41,54.7,0.03,0.0,STAA,16,5,16,21,26,2.2,0.3,0.4
21,3,66.7,36.0,2629.4,-2370.6,-47.41,9345.84,81.34,-0.25,0.1,STAA,16,5,16,21,26,2.2,0.4,-6.0
21,1,66.7,39.0,3593.6,-1406.4,-28.13,8559.84,74.5,-0.16,0.0,STAA,16,5,16,21,26,2.2,0.5,-3.1
20,0,65.0,43.0,3113.87,-1886.13,-37.72,8950.91,77.91,-0.21,0.1,STAA,16,5,16,21,26,2.2,0.6,-4.4
17,5,64.7,30.8,4740.24,-259.76,-5.2,4701.96,53.7,-0.06,0.0,STAA,16,5,16,21,26,2.3,0.2,-0.5
16,2,68.8,35.6,5288.09,288.09,5.76,4446.93,45.8,0.06,0.0,STAA,16,5,16,21,26,2.3,0.3,0.5
16,1,68.8,38.9,4653.63,-346.37,-6.93,5916.46,60.93,-0.06,0.0,STAA,16,5,16,21,26,2.3,0.4,-0.7
16,1,68.8,41.5,4032.4,-967.6,-19.35,6422.88,66.15,-0.15,0.0,STAA,16,5,16,21,26,2.3,0.5,-2.0
16,0,68.8,45.1,6904.19,1904.19,38.08,5024.75,48.8,0.38,0.1,STAA,16,5,16,21,26,2.3,0.6,3.1
12,4,58.3,37.7,4160.52,-839.48,-16.79,5290.14,55.98,-0.16,0.0,STAA,16,5,16,21,26,2.4,0.2,-1.7
11,3,63.6,36.8,3544.18,-1455.82,-29.12,5906.48,62.5,-0.25,0.1,STAA,16,5,16,21,26,2.4,0.3,-3.3
11,1,63.6,48.1,3776.22,-1223.78,-24.48,6372.32,67.43,-0.19,0.0,STAA,16,5,16,21,26,2.4,0.4,-2.7
11,1,63.6,51.8,3272.12,-1727.88,-34.56,6783.26,71.78,-0.25,0.1,STAA,16,5,16,21,26,2.4,0.5,-4.0
11,0,63.6,57.0,5602.46,602.46,12.05,5443.51,54.38,0.11,0.0,STAA,16,5,16,21,26,2.4,0.6,1.1
8,4,50.0,46.5,2960.33,-2039.67,-40.79,4088.3,58.0,-0.5,0.2,STAA,16,5,16,21,26,2.5,0.2,-4.9
8,3,62.5,50.0,2863.78,-2136.22,-42.72,4184.85,59.37,-0.51,0.2,STAA,16,5,16,21,26,2.5,0.3,-5.2
8,2,62.5,63.5,2158.07,-2841.93,-56.84,5289.4,75.04,-0.54,0.3,STAA,16,5,16,21,26,2.5,0.4,-7.8
8,1,62.5,71.4,2303.26,-2696.74,-53.93,5171.04,73.36,-0.52,0.3,STAA,16,5,16,21,26,2.5,0.5,-7.2
8,0,62.5,78.5,3943.59,-1056.41,-21.13,3833.85,54.39,-0.28,0.1,STAA,16,5,16,21,26,2.5,0.6,-2.3
6,3,50.0,46.3,3435.67,-1564.33,-31.29,3025.84,46.83,-0.52,0.2,STAA,16,5,16,21,26,2.6,0.2,-3.5
6,2,66.7,57.8,4447.52,-552.48,-11.05,3104.37,41.11,-0.18,0.0,STAA,16,5,16,21,26,2.6,0.3,-1.1
6,0,83.3,75.3,7902.89,2902.89,58.06,4761.74,42.5,0.61,0.4,STAA,16,5,16,21,26,2.6,0.4,4.5
6,0,83.3,75.3,7902.89,2902.89,58.06,4761.74,42.5,0.61,0.4,STAA,16,5,16,21,26,2.6,0.5,4.5
6,0,83.3,75.3,7902.89,2902.89,58.06,4761.74,42.5,0.61,0.4,STAA,16,5,16,21,26,2.6,0.6,4.5
6,3,50.0,46.7,3752.76,-1247.24,-24.94,2963.68,44.34,-0.42,0.1,STAA,16,5,16,21,26,2.7,0.2,-2.7
6,2,66.7,58.2,4857.99,-142.01,-2.84,3390.87,41.11,-0.04,0.0,STAA,16,5,16,21,26,2.7,0.3,-0.3
6,0,83.3,81.3,10866.18,5866.18,117.32,6169.25,42.5,0.95,1.1,STAA,16,5,16,21,26,2.7,0.4,7.7
6,0,83.3,81.3,10866.18,5866.18,117.32,6169.25,42.5,0.95,1.1,STAA,16,5,16,21,26,2.7,0.5,7.7
6,0,83.3,81.3,10866.18,5866.18,117.32,6169.25,42.5,0.95,1.1,STAA,16,5,16,21,26,2.7,0.6,7.7
6,3,50.0,49.7,4900.59,-99.41,-1.99,3870.16,44.34,-0.03,0.0,STAA,16,5,16,21,26,2.8,0.2,-0.2
6,2,66.7,61.2,6343.87,1343.87,26.88,4428.02,41.11,0.3,0.1,STAA,16,5,16,21,26,2.8,0.3,2.3
6,0,100.0,84.8,17066.97,12066.97,241.34,8056.21,42.5,1.5,3.6,STAA,16,5,16,21,26,2.8,0.4,12.5
6,0,100.0,84.8,17066.97,12066.97,241.34,8056.21,42.5,1.5,3.6,STAA,16,5,16,21,26,2.8,0.5,12.5
6,0,100.0,84.8,17066.97,12066.97,241.34,8056.21,42.5,1.5,3.6,STAA,16,5,16,21,26,2.8,0.6,12.5
5,3,40.0,63.8,4120.52,-879.48,-17.59,4665.65,53.31,-0.19,0.0,STAA,16,5,16,21,26,2.9,0.2,-1.8
5,1,80.0,83.4,9373.11,4373.11,87.46,6542.42,41.11,0.67,0.6,STAA,16,5,16,21,26,2.9,0.3,6.2
5,0,100.0,91.0,14329.66,9329.66,186.59,6764.1,42.5,1.38,2.6,STAA,16,5,16,21,26,2.9,0.4,10.6
5,0,100.0,91.0,14329.66,9329.66,186.59,6764.1,42.5,1.38,2.6,STAA,16,5,16,21,26,2.9,0.5,10.6
5,0,100.0,91.0,14329.66,9329.66,186.59,6764.1,42.5,1.38,2.6,STAA,16,5,16,21,26,2.9,0.6,10.6
5,3,40.0,63.8,4120.52,-879.48,-17.59,4665.65,53.31,-0.19,0.0,STAA,16,5,16,21,26,3.0,0.2,-1.8
5,1,80.0,86.0,12410.39,7410.39,148.21,8662.44,41.11,0.86,1.3,STAA,16,5,16,21,26,3.0,0.3,9.1
5,0,100.0,93.6,18973.07,13973.07,279.46,8955.95,42.5,1.56,4.4,STAA,16,5,16,21,26,3.0,0.4,13.7
5,0,100.0,93.6,18973.07,13973.07,279.46,8955.95,42.5,1.56,4.4,STAA,16,5,16,21,26,3.0,0.5,13.7
5,0,100.0,93.6,18973.07,13973.07,279.46,8955.95,42.5,1.56,4.4,STAA,16,5,16,21,26,3.0,0.6,13.7
4,2,50.0,68.0,5268.84,268.84,5.38,2855.03,35.34,0.09,0.0,STAA,16,5,16,21,26,3.1,0.2,0.5
4,1,50.0,104.8,5413.87,413.87,8.28,4254.42,44.0,0.1,0.0,STAA,16,5,16,21,26,3.1,0.3,0.8
4,0,75.0,114.2,8276.75,3276.75,65.53,4382.46,45.33,0.75,0.5,STAA,16,5,16,21,26,3.1,0.4,5.0
4,0,75.0,114.2,8276.75,3276.75,65.53,4382.46,45.33,0.75,0.5,STAA,16,5,16,21,26,3.1,0.5,5.0
4,0,75.0,114.2,8276.75,3276.75,65.53,4382.46,45.33,0.75,0.5,STAA,16,5,16,21,26,3.1,0.6,5.0
4,2,50.0,68.0,5268.84,268.84,5.38,2855.03,35.34,0.09,0.0,STAA,16,5,16,21,26,3.2,0.2,0.5
4,1,50.0,104.8,5413.87,413.87,8.28,4254.42,44.0,0.1,0.0,STAA,16,5,16,21,26,3.2,0.3,0.8
4,0,75.0,114.2,8276.75,3276.75,65.53,4382.46,45.33,0.75,0.5,STAA,16,5,16,21,26,3.2,0.4,5.0
4,0,75.0,114.2,8276.75,3276.75,65.53,4382.46,45.33,0.75,0.5,STAA,16,5,16,21,26,3.2,0.5,5.0
4,0,75.0,114.2,8276.75,3276.75,65.53,4382.46,45.33,0.75,0.5,STAA,16,5,16,21,26,3.2,0.6,5.0
45,8,64.4,19.7,8278.11,3278.11,65.56,5381.76,51.01,0.61,0.4,STAA,16,8,16,24,32,1.5,0.2,5.0
41,3,65.9,21.8,10605.29,5605.29,112.11,5289.65,37.81,1.06,1.2,STAA,16,8,16,24,32,1.5,0.3,7.5
40,1,67.5,22.8,11434.78,6434.78,128.7,5668.17,37.81,1.14,1.5,STAA,16,8,16,24,32,1.5,0.4,8.3
39,0,66.7,23.4,11424.17,6424.17,128.48,5662.92,37.81,1.13,1.5,STAA,16,8,16,24,32,1.5,0.5,8.3
39,0,66.7,23.4,11424.17,6424.17,128.48,5662.92,37.81,1.13,1.5,STAA,16,8,16,24,32,1.5,0.6,8.3
43,8,65.1,20.1,10649.44,5649.44,112.99,5259.43,38.75,1.07,1.2,STAA,16,8,16,24,32,1.6,0.2,7.5
38,3,65.8,22.7,12631.28,7631.28,152.63,7680.76,37.81,0.99,1.5,STAA,16,8,16,24,32,1.6,0.3,9.3
38,1,68.4,23.6,16179.57,11179.57,223.59,8020.15,37.81,1.39,3.1,STAA,16,8,16,24,32,1.6,0.4,11.9
37,0,67.6,24.3,15457.38,10457.38,209.15,7662.16,37.81,1.36,2.8,STAA,16,8,16,24,32,1.6,0.5,11.4
37,0,67.6,24.3,15457.38,10457.38,209.15,7662.16,37.81,1.36,2.8,STAA,16,8,16,24,32,1.6,0.6,11.4
40,8,65.0,22.1,10055.63,5055.63,101.11,8890.39,55.92,0.57,0.6,STAA,16,8,16,24,32,1.7,0.2,6.9
36,4,69.4,24.3,12398.72,7398.72,147.97,11472.23,51.28,0.64,0.9,STAA,16,8,16,24,32,1.7,0.3,9.1
36,2,72.2,25.2,15991.78,10991.78,219.84,11900.26,50.94,0.92,2.0,STAA,16,8,16,24,32,1.7,0.4,11.8
34,0,70.6,26.8,14694.04,9694.04,193.88,11787.59,52.81,0.82,1.6,STAA,16,8,16,24,32,1.7,0.5,10.9
34,0,70.6,26.8,14694.04,9694.04,193.88,11787.59,52.81,0.82,1.6,STAA,16,8,16,24,32,1.7,0.6,10.9
36,8,61.1,23.5,7966.74,2966.74,59.33,8274.97,57.63,0.36,0.2,STAA,16,8,16,24,32,1.8,0.2,4.6
35,4,68.6,25.9,11525.34,6525.34,130.51,10377.08,51.28,0.63,0.8,STAA,16,8,16,24,32,1.8,0.3,8.3
34,2,70.6,26.5,14900.74,9900.74,198.01,10789.91,50.94,0.92,1.8,STAA,16,8,16,24,32,1.8,0.4,11.1
33,0,69.7,27.8,15057.0,10057.0,201.14,11753.64,52.81,0.86,1.7,STAA,16,8,16,24,32,1.8,0.5,11.2
33,0,69.7,27.8,15057.0,10057.0,201.14,11753.64,52.81,0.86,1.7,STAA,16,8,16,24,32,1.8,0.6,11.2
32,7,59.4,24.6,8550.01,3550.01,71.0,5593.48,45.58,0.63,0.4,STAA,16,8,16,24,32,1.9,0.2,5.3
32,4,65.6,27.0,10567.31,5567.31,111.35,9978.7,51.28,0.56,0.6,STAA,16,8,16,24,32,1.9,0.3,7.4
