Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
45,4,82.2,16.7,43569.03,38569.03,771.38,12805.31,29.39,3.01,23.2,STRL,16,5,16,21,26,1.5,0.2,23.1
42,2,81.0,17.7,35127.79,30127.79,602.56,7492.94,21.33,4.02,24.2,STRL,16,5,16,21,26,1.5,0.3,20.6
42,1,81.0,17.8,37903.16,32903.16,658.06,8084.94,21.33,4.07,26.8,STRL,16,5,16,21,26,1.5,0.4,21.5
42,0,81.0,18.4,47478.7,42478.7,849.57,10127.45,21.33,4.19,35.6,STRL,16,5,16,21,26,1.5,0.5,24.1
42,0,81.0,18.4,47478.7,42478.7,849.57,10127.45,21.33,4.19,35.6,STRL,16,5,16,21,26,1.5,0.6,24.1
41,3,80.5,17.6,41093.54,36093.54,721.87,12077.74,29.39,2.99,21.6,STRL,16,5,16,21,26,1.6,0.2,22.4
39,2,79.5,18.2,32023.62,27023.62,540.47,6830.81,21.33,3.96,21.4,STRL,16,5,16,21,26,1.6,0.3,19.5
39,1,79.5,18.4,34553.74,29553.74,591.07,7370.49,21.33,4.01,23.7,STRL,16,5,16,21,26,1.6,0.4,20.4
39,0,79.5,19.1,43283.11,38283.11,765.66,9232.51,21.33,4.15,31.8,STRL,16,5,16,21,26,1.6,0.5,23.0
39,0,79.5,19.1,43283.11,38283.11,765.66,9232.51,21.33,4.15,31.8,STRL,16,5,16,21,26,1.6,0.6,23.0
40,3,80.0,18.2,46211.13,41211.13,824.22,11599.79,25.1,3.55,29.3,STRL,16,5,16,21,26,1.7,0.2,23.8
38,1,78.9,18.9,44135.46,39135.46,782.71,8986.24,20.36,4.36,34.1,STRL,16,5,16,21,26,1.7,0.3,23.3
38,1,78.9,19.0,42567.2,37567.2,751.34,8666.94,20.36,4.33,32.5,STRL,16,5,16,21,26,1.7,0.4,22.8
38,0,78.9,19.7,53321.02,48321.02,966.42,10856.48,20.36,4.45,43.0,STRL,16,5,16,21,26,1.7,0.5,25.5
38,0,78.9,19.7,53321.02,48321.02,966.42,10856.48,20.36,4.45,43.0,STRL,16,5,16,21,26,1.7,0.6,25.5
38,3,81.6,18.5,54258.85,49258.85,985.18,13244.26,24.41,3.72,36.6,STRL,16,5,16,21,26,1.8,0.2,25.7
36,1,80.6,19.3,51821.71,46821.71,936.43,10260.2,19.8,4.56,42.7,STRL,16,5,16,21,26,1.8,0.3,25.2
36,1,80.6,19.4,49980.32,44980.32,899.61,9895.63,19.8,4.55,40.9,STRL,16,5,16,21,26,1.8,0.4,24.7
36,0,80.6,20.1,62606.94,57606.94,1152.14,12395.57,19.8,4.65,53.6,STRL,16,5,16,21,26,1.8,0.5,27.5
36,0,80.6,20.1,62606.94,57606.94,1152.14,12395.57,19.8,4.65,53.6,STRL,16,5,16,21,26,1.8,0.6,27.5
34,3,82.4,18.6,64626.83,59626.83,1192.54,15775.02,24.41,3.78,45.1,STRL,16,5,16,21,26,1.9,0.2,27.9
