Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
54,6,70.4,19.9,6214.4,1214.4,24.29,3650.98,48.75,0.33,0.1,TBRG,16,5,16,21,26,1.5,0.2,2.1
49,3,69.4,21.5,5247.27,247.27,4.95,4711.2,60.29,0.05,0.0,TBRG,16,5,16,21,26,1.5,0.3,0.5
49,0,69.4,22.4,6561.88,1561.88,31.24,3894.95,50.09,0.4,0.1,TBRG,16,5,16,21,26,1.5,0.4,2.6
49,0,69.4,22.4,6561.88,1561.88,31.24,3894.95,50.09,0.4,0.1,TBRG,16,5,16,21,26,1.5,0.5,2.6
49,0,69.4,22.4,6561.88,1561.88,31.24,3894.95,50.09,0.4,0.1,TBRG,16,5,16,21,26,1.5,0.6,2.6
50,5,72.0,21.1,9994.2,4994.2,99.88,6200.48,48.9,0.81,0.8,TBRG,16,5,16,21,26,1.6,0.2,6.9
46,2,69.6,23.0,8006.34,3006.34,60.13,7546.37,59.35,0.4,0.2,TBRG,16,5,16,21,26,1.6,0.3,4.6
46,0,69.6,23.5,10366.34,5366.34,107.33,6115.28,48.1,0.88,0.9,TBRG,16,5,16,21,26,1.6,0.4,7.3
46,0,69.6,23.5,10366.34,5366.34,107.33,6115.28,48.1,0.88,0.9,TBRG,16,5,16,21,26,1.6,0.5,7.3
46,0,69.6,23.5,10366.34,5366.34,107.33,6115.28,48.1,0.88,0.9,TBRG,16,5,16,21,26,1.6,0.6,7.3
43,5,69.8,23.8,6207.26,1207.26,24.15,4762.68,49.03,0.25,0.1,TBRG,16,5,16,21,26,1.7,0.2,2.1
39,3,66.7,26.5,3821.59,-1178.41,-23.57,5601.03,59.44,-0.21,0.0,TBRG,16,5,16,21,26,1.7,0.3,-2.5
39,0,66.7,27.3,5863.11,863.11,17.26,4677.9,49.65,0.18,0.0,TBRG,16,5,16,21,26,1.7,0.4,1.5
39,0,66.7,27.3,5863.11,863.11,17.26,4677.9,49.65,0.18,0.0,TBRG,16,5,16,21,26,1.7,0.5,1.5
39,0,66.7,27.3,5863.11,863.11,17.26,4677.9,49.65,0.18,0.0,TBRG,16,5,16,21,26,1.7,0.6,1.5
