Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
18,2,66.7,25.3,4954.25,-45.75,-0.91,1817.96,34.6,-0.03,0.0,TCBX,16,5,16,21,26,1.5,0.2,-0.2
17,0,64.7,27.9,5358.69,358.69,7.17,1906.55,35.58,0.19,0.0,TCBX,16,5,16,21,26,1.5,0.3,1.5
17,0,64.7,27.9,5358.69,358.69,7.17,1906.55,35.58,0.19,0.0,TCBX,16,5,16,21,26,1.5,0.4,1.5
17,0,64.7,27.9,5358.69,358.69,7.17,1906.55,35.58,0.19,0.0,TCBX,16,5,16,21,26,1.5,0.5,1.5
17,0,64.7,27.9,5358.69,358.69,7.17,1906.55,35.58,0.19,0.0,TCBX,16,5,16,21,26,1.5,0.6,1.5
17,2,70.6,25.6,5250.45,250.45,5.01,1768.09,32.68,0.14,0.0,TCBX,16,5,16,21,26,1.6,0.2,1.1
16,0,68.8,28.8,5682.23,682.23,13.64,1906.55,33.05,0.36,0.0,TCBX,16,5,16,21,26,1.6,0.3,2.8
16,0,68.8,28.8,5682.23,682.23,13.64,1906.55,33.05,0.36,0.0,TCBX,16,5,16,21,26,1.6,0.4,2.8
16,0,68.8,28.8,5682.23,682.23,13.64,1906.55,33.05,0.36,0.0,TCBX,16,5,16,21,26,1.6,0.5,2.8
16,0,68.8,28.8,5682.23,682.23,13.64,1906.55,33.05,0.36,0.0,TCBX,16,5,16,21,26,1.6,0.6,2.8
17,2,70.6,25.1,6051.26,1051.26,21.03,1617.69,26.59,0.65,0.1,TCBX,16,5,16,21,26,1.7,0.2,4.3
16,0,68.8,28.3,6499.97,1499.97,30.0,1906.55,29.33,0.79,0.2,TCBX,16,5,16,21,26,1.7,0.3,5.9
16,0,68.8,28.3,6499.97,1499.97,30.0,1906.55,29.33,0.79,0.2,TCBX,16,5,16,21,26,1.7,0.4,5.9
16,0,68.8,28.3,6499.97,1499.97,30.0,1906.55,29.33,0.79,0.2,TCBX,16,5,16,21,26,1.7,0.5,5.9
16,0,68.8,28.3,6499.97,1499.97,30.0,1906.55,29.33,0.79,0.2,TCBX,16,5,16,21,26,1.7,0.6,5.9
17,2,70.6,24.1,6254.0,1254.0,25.08,1495.87,23.79,0.84,0.2,TCBX,16,5,16,21,26,1.8,0.2,5.0
16,0,68.8,27.3,6717.74,1717.74,34.35,1794.4,26.71,0.96,0.3,TCBX,16,5,16,21,26,1.8,0.3,6.7
16,0,68.8,27.3,6717.74,1717.74,34.35,1794.4,26.71,0.96,0.3,TCBX,16,5,16,21,26,1.8,0.4,6.7
16,0,68.8,27.3,6717.74,1717.74,34.35,1794.4,26.71,0.96,0.3,TCBX,16,5,16,21,26,1.8,0.5,6.7
16,0,68.8,27.3,6717.74,1717.74,34.35,1794.4,26.71,0.96,0.3,TCBX,16,5,16,21,26,1.8,0.6,6.7
13,1,76.9,29.4,6826.31,1826.31,36.53,1584.97,23.22,1.15,0.4,TCBX,16,5,16,21,26,1.9,0.2,7.1
12,0,75.0,32.3,6284.01,1284.01,25.68,1876.43,29.86,0.68,0.2,TCBX,16,5,16,21,26,1.9,0.3,5.1
12,0,75.0,32.3,6284.01,1284.01,25.68,1876.43,29.86,0.68,0.2,TCBX,16,5,16,21,26,1.9,0.4,5.1
