Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
42,5,71.4,17.0,13442.18,8442.18,168.84,6821.89,50.75,1.24,2.1,TTMI,16,5,16,21,26,1.5,0.2,10.0
39,2,74.4,18.1,13065.01,8065.01,161.3,6931.14,53.05,1.16,1.9,TTMI,16,5,16,21,26,1.5,0.3,9.7
38,1,73.7,19.1,13093.88,8093.88,161.88,6922.77,52.87,1.17,1.9,TTMI,16,5,16,21,26,1.5,0.4,9.7
37,0,75.7,19.7,12968.46,7968.46,159.37,6959.1,53.66,1.15,1.8,TTMI,16,5,16,21,26,1.5,0.5,9.6
37,0,75.7,19.7,12968.46,7968.46,159.37,6959.1,53.66,1.15,1.8,TTMI,16,5,16,21,26,1.5,0.6,9.6
39,5,69.2,17.3,11589.56,6589.56,131.79,5944.79,51.29,1.11,1.5,TTMI,16,5,16,21,26,1.6,0.2,8.4
36,2,72.2,18.5,11264.38,6264.38,125.29,6040.0,53.62,1.04,1.3,TTMI,16,5,16,21,26,1.6,0.3,8.1
35,1,71.4,19.7,11289.27,6289.27,125.79,6032.71,53.44,1.04,1.3,TTMI,16,5,16,21,26,1.6,0.4,8.1
34,0,73.5,20.3,11181.13,6181.13,123.62,6064.37,54.24,1.02,1.3,TTMI,16,5,16,21,26,1.6,0.5,8.0
34,0,73.5,20.3,11181.13,6181.13,123.62,6064.37,54.24,1.02,1.3,TTMI,16,5,16,21,26,1.6,0.6,8.0
31,5,64.5,19.0,6746.0,1746.0,34.92,5101.43,65.94,0.34,0.1,TTMI,16,5,16,21,26,1.7,0.2,2.9
31,2,67.7,20.8,8507.59,3507.59,70.15,4853.05,57.04,0.72,0.5,TTMI,16,5,16,21,26,1.7,0.3,5.2
30,1,66.7,22.3,8526.39,3526.39,70.53,4846.68,56.84,0.73,0.5,TTMI,16,5,16,21,26,1.7,0.4,5.3
29,0,69.0,23.1,8444.72,3444.72,68.89,4874.36,57.72,0.71,0.5,TTMI,16,5,16,21,26,1.7,0.5,5.2
29,0,69.0,23.1,8444.72,3444.72,68.89,4874.36,57.72,0.71,0.5,TTMI,16,5,16,21,26,1.7,0.6,5.2
26,6,61.5,22.7,4032.24,-967.76,-19.36,5111.76,67.26,-0.19,0.0,TTMI,16,5,16,21,26,1.8,0.2,-2.0
25,2,64.0,25.8,5139.52,139.52,2.79,4767.03,62.73,0.03,0.0,TTMI,16,5,16,21,26,1.8,0.3,0.3
24,1,62.5,27.9,5150.88,150.88,3.02,4760.77,62.64,0.03,0.0,TTMI,16,5,16,21,26,1.8,0.4,0.3
23,0,65.2,29.1,5101.54,101.54,2.03,4787.96,63.0,0.02,0.0,TTMI,16,5,16,21,26,1.8,0.5,0.2
23,0,65.2,29.1,5101.54,101.54,2.03,4787.96,63.0,0.02,0.0,TTMI,16,5,16,21,26,1.8,0.6,0.2
25,6,60.0,25.5,4398.4,-601.6,-12.03,5345.3,65.98,-0.11,0.0,TTMI,16,5,16,21,26,1.9,0.2,-1.2
24,2,62.5,28.9,6778.41,1778.41,35.57,4540.54,56.05,0.39,0.1,TTMI,16,5,16,21,26,1.9,0.3,3.0
23,1,60.9,31.3,5947.2,947.2,18.94,4977.21,61.44,0.19,0.0,TTMI,16,5,16,21,26,1.9,0.4,1.7
22,0,63.6,32.7,5890.23,890.23,17.8,5007.14,61.8,0.18,0.0,TTMI,16,5,16,21,26,1.9,0.5,1.6
22,0,63.6,32.7,5890.23,890.23,17.8,5007.14,61.8,0.18,0.0,TTMI,16,5,16,21,26,1.9,0.6,1.6
21,6,57.1,27.3,3010.19,-1989.81,-39.8,6275.89,75.31,-0.32,0.1,TTMI,16,5,16,21,26,2.0,0.2,-4.8
21,2,61.9,30.9,5466.47,466.47,9.33,5308.14,63.7,0.09,0.0,TTMI,16,5,16,21,26,2.0,0.3,0.9
20,1,60.0,33.7,4815.39,-184.61,-3.69,5668.46,68.02,-0.03,0.0,TTMI,16,5,16,21,26,2.0,0.4,-0.4
19,0,63.2,35.5,4750.19,-249.81,-5.0,5704.54,68.45,-0.04,0.0,TTMI,16,5,16,21,26,2.0,0.5,-0.5
19,0,63.2,35.5,4750.19,-249.81,-5.0,5704.54,68.45,-0.04,0.0,TTMI,16,5,16,21,26,2.0,0.6,-0.5
18,4,61.1,28.7,4957.02,-42.98,-0.86,5170.63,57.95,-0.01,0.0,TTMI,16,5,16,21,26,2.1,0.2,-0.1
17,2,58.8,28.9,4579.75,-420.25,-8.41,5676.81,63.62,-0.07,0.0,TTMI,16,5,16,21,26,2.1,0.3,-0.8
16,1,62.5,33.0,5116.55,116.55,2.33,5550.59,62.21,0.02,0.0,TTMI,16,5,16,21,26,2.1,0.4,0.2
16,0,62.5,34.2,5047.27,47.27,0.95,5596.25,62.72,0.01,0.0,TTMI,16,5,16,21,26,2.1,0.5,0.1
16,0,62.5,34.2,5047.27,47.27,0.95,5596.25,62.72,0.01,0.0,TTMI,16,5,16,21,26,2.1,0.6,0.1
15,4,60.0,34.3,4389.5,-610.5,-12.21,4140.11,57.95,-0.15,0.0,TTMI,16,5,16,21,26,2.2,0.2,-1.2
14,2,64.3,33.4,4392.13,-607.87,-12.16,4198.52,58.77,-0.14,0.0,TTMI,16,5,16,21,26,2.2,0.3,-1.2
13,1,69.2,40.8,5180.86,180.86,3.62,4444.34,62.21,0.04,0.0,TTMI,16,5,16,21,26,2.2,0.4,0.3
13,0,69.2,42.4,5210.92,210.92,4.22,4428.67,61.99,0.05,0.0,TTMI,16,5,16,21,26,2.2,0.5,0.4
13,0,69.2,42.4,5210.92,210.92,4.22,4428.67,61.99,0.05,0.0,TTMI,16,5,16,21,26,2.2,0.6,0.4
14,2,71.4,36.5,9194.29,4194.29,83.89,3860.69,41.99,1.09,0.9,TTMI,16,5,16,21,26,2.3,0.2,6.0
