Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
46,2,69.6,22.2,6221.9,1221.9,24.44,4235.37,68.07,0.29,0.1,UE,16,5,16,21,26,1.5,0.2,2.1
46,2,69.6,22.2,7344.1,2344.1,46.88,3882.69,52.87,0.6,0.3,UE,16,5,16,21,26,1.5,0.3,3.8
45,1,71.1,22.7,6645.9,1645.9,32.92,4102.11,61.72,0.4,0.1,UE,16,5,16,21,26,1.5,0.4,2.8
45,1,71.1,22.7,6645.9,1645.9,32.92,4102.11,61.72,0.4,0.1,UE,16,5,16,21,26,1.5,0.5,2.8
44,0,70.5,23.2,6796.05,1796.05,35.92,4054.93,59.67,0.44,0.2,UE,16,5,16,21,26,1.5,0.6,3.0
44,3,68.2,22.9,5493.16,493.16,9.86,4392.26,67.72,0.11,0.0,UE,16,5,16,21,26,1.6,0.2,0.9
44,2,68.2,23.2,7433.56,2433.56,48.67,4014.69,54.01,0.61,0.3,UE,16,5,16,21,26,1.6,0.3,3.9
43,1,69.8,23.7,6726.87,1726.87,34.54,4249.6,63.17,0.41,0.1,UE,16,5,16,21,26,1.6,0.4,2.9
43,1,69.8,23.7,6726.87,1726.87,34.54,4249.6,63.17,0.41,0.1,UE,16,5,16,21,26,1.6,0.5,2.9
42,0,69.0,24.3,6878.84,1878.84,37.58,4199.09,61.04,0.45,0.2,UE,16,5,16,21,26,1.6,0.6,3.1
43,4,72.1,22.8,8414.32,3414.32,68.29,4043.09,48.05,0.84,0.6,UE,16,5,16,21,26,1.7,0.2,5.1
42,2,71.4,23.6,9261.99,4261.99,85.24,4147.65,44.78,1.03,0.9,UE,16,5,16,21,26,1.7,0.3,6.1
41,1,73.2,24.2,8381.47,3381.47,67.63,4386.98,52.34,0.77,0.5,UE,16,5,16,21,26,1.7,0.4,5.1
41,1,73.2,24.2,8381.47,3381.47,67.63,4386.98,52.34,0.77,0.5,UE,16,5,16,21,26,1.7,0.5,5.1
40,0,72.5,24.8,8570.82,3570.82,71.42,4335.51,50.58,0.82,0.6,UE,16,5,16,21,26,1.7,0.6,5.3
