Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
41,2,80.5,17.1,17641.98,12641.98,252.84,9826.86,41.72,1.29,3.3,UFPT,16,5,16,21,26,1.5,0.2,12.9
40,1,80.0,17.6,16368.45,11368.45,227.37,6493.16,33.77,1.75,4.0,UFPT,16,5,16,21,26,1.5,0.3,12.1
40,0,80.0,18.0,21132.75,16132.75,322.66,8383.09,33.77,1.92,6.2,UFPT,16,5,16,21,26,1.5,0.4,14.8
40,0,80.0,18.0,21132.75,16132.75,322.66,8383.09,33.77,1.92,6.2,UFPT,16,5,16,21,26,1.5,0.5,14.8
40,0,80.0,18.0,21132.75,16132.75,322.66,8383.09,33.77,1.92,6.2,UFPT,16,5,16,21,26,1.5,0.6,14.8
37,2,81.1,19.3,17010.07,12010.07,240.2,9085.44,41.72,1.32,3.2,UFPT,16,5,16,21,26,1.6,0.2,12.5
36,1,80.6,20.0,16166.01,11166.01,223.32,5555.26,31.54,2.01,4.5,UFPT,16,5,16,21,26,1.6,0.3,11.9
36,0,80.6,20.4,21062.91,16062.91,321.26,7238.02,31.54,2.22,7.1,UFPT,16,5,16,21,26,1.6,0.4,14.8
36,0,80.6,20.4,21062.91,16062.91,321.26,7238.02,31.54,2.22,7.1,UFPT,16,5,16,21,26,1.6,0.5,14.8
36,0,80.6,20.4,21062.91,16062.91,321.26,7238.02,31.54,2.22,7.1,UFPT,16,5,16,21,26,1.6,0.6,14.8
34,2,79.4,20.0,16275.34,11275.34,225.51,8693.01,41.72,1.3,2.9,UFPT,16,5,16,21,26,1.7,0.2,12.0
33,1,78.8,20.8,15467.74,10467.74,209.35,5315.31,31.54,1.97,4.1,UFPT,16,5,16,21,26,1.7,0.3,11.5
33,0,78.8,21.2,20153.13,15153.13,303.06,6925.39,31.54,2.19,6.6,UFPT,16,5,16,21,26,1.7,0.4,14.3
33,0,78.8,21.2,20153.13,15153.13,303.06,6925.39,31.54,2.19,6.6,UFPT,16,5,16,21,26,1.7,0.5,14.3
33,0,78.8,21.2,20153.13,15153.13,303.06,6925.39,31.54,2.19,6.6,UFPT,16,5,16,21,26,1.7,0.6,14.3
32,2,78.1,20.8,22954.32,17954.32,359.09,11940.11,41.08,1.5,5.4,UFPT,16,5,16,21,26,1.8,0.2,15.8
31,1,77.4,21.6,17632.0,12632.0,252.64,5849.62,30.78,2.16,5.5,UFPT,16,5,16,21,26,1.8,0.3,12.9
31,0,77.4,22.2,23689.99,18689.99,373.8,7859.43,30.78,2.38,8.9,UFPT,16,5,16,21,26,1.8,0.4,16.1
31,0,77.4,22.2,23689.99,18689.99,373.8,7859.43,30.78,2.38,8.9,UFPT,16,5,16,21,26,1.8,0.5,16.1
31,0,77.4,22.2,23689.99,18689.99,373.8,7859.43,30.78,2.38,8.9,UFPT,16,5,16,21,26,1.8,0.6,16.1
29,2,79.3,22.0,24882.23,19882.23,397.64,14505.73,41.08,1.37,5.4,UFPT,16,5,16,21,26,1.9,0.2,16.7
28,1,78.6,22.6,17997.68,12997.68,259.95,6691.89,30.78,1.94,5.0,UFPT,16,5,16,21,26,1.9,0.3,13.1
28,0,78.6,23.6,25679.69,20679.69,413.59,9548.22,30.78,2.17,9.0,UFPT,16,5,16,21,26,1.9,0.4,17.0
28,0,78.6,23.6,25679.69,20679.69,413.59,9548.22,30.78,2.17,9.0,UFPT,16,5,16,21,26,1.9,0.5,17.0
28,0,78.6,23.6,25679.69,20679.69,413.59,9548.22,30.78,2.17,9.0,UFPT,16,5,16,21,26,1.9,0.6,17.0
25,1,88.0,21.4,29286.1,24286.1,485.72,7915.59,22.76,3.07,14.9,UFPT,16,5,16,21,26,2.0,0.2,18.5
24,1,87.5,21.1,18031.04,13031.04,260.62,4873.52,22.76,2.67,7.0,UFPT,16,5,16,21,26,2.0,0.3,13.1
