Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
35,3,65.7,18.7,5192.65,192.65,3.85,2589.41,45.97,0.07,0.0,VABK,16,5,16,21,26,1.5,0.2,0.4
33,1,69.7,19.9,5608.31,608.31,12.17,2367.54,42.03,0.26,0.0,VABK,16,5,16,21,26,1.5,0.3,1.1
32,0,68.8,20.6,5390.58,390.58,7.81,2494.3,44.28,0.16,0.0,VABK,16,5,16,21,26,1.5,0.4,0.7
32,0,68.8,20.6,5390.58,390.58,7.81,2494.3,44.28,0.16,0.0,VABK,16,5,16,21,26,1.5,0.5,0.7
32,0,68.8,20.6,5390.58,390.58,7.81,2494.3,44.28,0.16,0.0,VABK,16,5,16,21,26,1.5,0.6,0.7
31,3,67.7,19.0,4954.12,-45.88,-0.92,2517.81,46.8,-0.02,0.0,VABK,16,5,16,21,26,1.6,0.2,-0.1
30,1,70.0,20.4,5297.63,297.63,5.95,2309.15,42.92,0.13,0.0,VABK,16,5,16,21,26,1.6,0.3,0.6
29,0,69.0,21.1,5091.96,91.96,1.84,2428.36,45.14,0.04,0.0,VABK,16,5,16,21,26,1.6,0.4,0.2
29,0,69.0,21.1,5091.96,91.96,1.84,2428.36,45.14,0.04,0.0,VABK,16,5,16,21,26,1.6,0.5,0.2
29,0,69.0,21.1,5091.96,91.96,1.84,2428.36,45.14,0.04,0.0,VABK,16,5,16,21,26,1.6,0.6,0.2
28,3,67.9,19.9,4915.65,-84.35,-1.69,2517.81,46.8,-0.03,0.0,VABK,16,5,16,21,26,1.7,0.2,-0.2
27,1,70.4,21.5,5256.48,256.48,5.13,2309.15,42.92,0.11,0.0,VABK,16,5,16,21,26,1.7,0.3,0.5
26,0,69.2,22.3,5052.41,52.41,1.05,2428.36,45.14,0.02,0.0,VABK,16,5,16,21,26,1.7,0.4,0.1
26,0,69.2,22.3,5052.41,52.41,1.05,2428.36,45.14,0.02,0.0,VABK,16,5,16,21,26,1.7,0.5,0.1
26,0,69.2,22.3,5052.41,52.41,1.05,2428.36,45.14,0.02,0.0,VABK,16,5,16,21,26,1.7,0.6,0.1
26,3,65.4,21.6,4566.76,-433.24,-8.66,2569.2,46.8,-0.17,0.0,VABK,16,5,16,21,26,1.8,0.2,-0.9
24,1,66.7,23.7,3943.71,-1056.29,-21.13,2682.85,48.87,-0.39,0.1,VABK,16,5,16,21,26,1.8,0.3,-2.3
24,0,66.7,24.4,4693.81,-306.19,-6.12,2477.93,45.14,-0.12,0.0,VABK,16,5,16,21,26,1.8,0.4,-0.6
24,0,66.7,24.4,4693.81,-306.19,-6.12,2477.93,45.14,-0.12,0.0,VABK,16,5,16,21,26,1.8,0.5,-0.6
24,0,66.7,24.4,4693.81,-306.19,-6.12,2477.93,45.14,-0.12,0.0,VABK,16,5,16,21,26,1.8,0.6,-0.6
23,3,65.2,23.2,4572.38,-427.62,-8.55,2012.88,36.67,-0.21,0.0,VABK,16,5,16,21,26,1.9,0.2,-0.9
22,1,63.6,25.7,3929.16,-1070.84,-21.42,2501.96,45.58,-0.43,0.1,VABK,16,5,16,21,26,1.9,0.3,-2.3
22,0,63.6,26.5,4676.51,-323.49,-6.47,2477.93,45.14,-0.13,0.0,VABK,16,5,16,21,26,1.9,0.4,-0.6
22,0,63.6,26.5,4676.51,-323.49,-6.47,2477.93,45.14,-0.13,0.0,VABK,16,5,16,21,26,1.9,0.5,-0.6
22,0,63.6,26.5,4676.51,-323.49,-6.47,2477.93,45.14,-0.13,0.0,VABK,16,5,16,21,26,1.9,0.6,-0.6
22,3,63.6,24.0,4569.45,-430.55,-8.61,2049.24,37.33,-0.21,0.0,VABK,16,5,16,21,26,2.0,0.2,-0.9
21,1,61.9,26.7,3926.65,-1073.35,-21.47,2533.2,46.15,-0.42,0.1,VABK,16,5,16,21,26,2.0,0.3,-2.3
21,0,61.9,27.5,4673.51,-326.49,-6.53,2461.86,44.85,-0.13,0.0,VABK,16,5,16,21,26,2.0,0.4,-0.6
21,0,61.9,27.5,4673.51,-326.49,-6.53,2461.86,44.85,-0.13,0.0,VABK,16,5,16,21,26,2.0,0.5,-0.6
21,0,61.9,27.5,4673.51,-326.49,-6.53,2461.86,44.85,-0.13,0.0,VABK,16,5,16,21,26,2.0,0.6,-0.6
