Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
44,3,70.5,21.2,13180.4,8180.4,163.61,5497.97,41.71,1.49,2.4,VIAV,16,5,16,21,26,1.5,0.2,9.8
42,2,69.0,22.5,11639.43,6639.43,132.79,5497.97,46.59,1.21,1.6,VIAV,16,5,16,21,26,1.5,0.3,8.5
41,0,68.3,23.2,14394.24,9394.24,187.88,4931.16,34.26,1.91,3.6,VIAV,16,5,16,21,26,1.5,0.4,10.7
41,0,68.3,23.2,14394.24,9394.24,187.88,4931.16,34.26,1.91,3.6,VIAV,16,5,16,21,26,1.5,0.5,10.7
41,0,68.3,23.2,14394.24,9394.24,187.88,4931.16,34.26,1.91,3.6,VIAV,16,5,16,21,26,1.5,0.6,10.7
41,3,68.3,22.8,13960.41,8960.41,179.21,5503.49,39.42,1.63,2.9,VIAV,16,5,16,21,26,1.6,0.2,10.4
39,1,66.7,24.4,13751.37,8751.37,175.03,5503.49,40.02,1.59,2.8,VIAV,16,5,16,21,26,1.6,0.3,10.2
38,0,65.8,25.1,15246.08,10246.08,204.92,5416.13,35.52,1.89,3.9,VIAV,16,5,16,21,26,1.6,0.4,11.3
38,0,65.8,25.1,15246.08,10246.08,204.92,5416.13,35.52,1.89,3.9,VIAV,16,5,16,21,26,1.6,0.5,11.3
38,0,65.8,25.1,15246.08,10246.08,204.92,5416.13,35.52,1.89,3.9,VIAV,16,5,16,21,26,1.6,0.6,11.3
37,3,67.6,25.7,12953.65,7953.65,159.07,4482.12,34.6,1.77,2.8,VIAV,16,5,16,21,26,1.7,0.2,9.6
35,1,65.7,27.2,12136.1,7136.1,142.72,4619.64,38.07,1.54,2.2,VIAV,16,5,16,21,26,1.7,0.3,8.9
34,0,64.7,28.1,11884.27,6884.27,137.69,4624.37,38.91,1.49,2.1,VIAV,16,5,16,21,26,1.7,0.4,8.7
34,0,64.7,28.1,11884.27,6884.27,137.69,4624.37,38.91,1.49,2.1,VIAV,16,5,16,21,26,1.7,0.5,8.7
34,0,64.7,28.1,11884.27,6884.27,137.69,4624.37,38.91,1.49,2.1,VIAV,16,5,16,21,26,1.7,0.6,8.7
34,2,70.6,26.5,12842.88,7842.88,156.86,3891.65,30.3,2.02,3.2,VIAV,16,5,16,21,26,1.8,0.2,9.5
33,1,69.7,27.3,12827.25,7827.25,156.55,3891.65,30.34,2.01,3.1,VIAV,16,5,16,21,26,1.8,0.3,9.5
32,0,68.8,28.2,12561.08,7561.08,151.22,4015.16,31.97,1.88,2.8,VIAV,16,5,16,21,26,1.8,0.4,9.2
32,0,68.8,28.2,12561.08,7561.08,151.22,4015.16,31.97,1.88,2.8,VIAV,16,5,16,21,26,1.8,0.5,9.2
32,0,68.8,28.2,12561.08,7561.08,151.22,4015.16,31.97,1.88,2.8,VIAV,16,5,16,21,26,1.8,0.6,9.2
32,2,75.0,27.9,14825.0,9825.0,196.5,4087.79,27.57,2.4,4.7,VIAV,16,5,16,21,26,1.9,0.2,11.0
31,1,74.2,28.9,14806.96,9806.96,196.14,4097.01,27.67,2.39,4.7,VIAV,16,5,16,21,26,1.9,0.3,11.0
30,0,73.3,29.9,14499.7,9499.7,189.99,4011.99,27.67,2.37,4.5,VIAV,16,5,16,21,26,1.9,0.4,10.8
30,0,73.3,29.9,14499.7,9499.7,189.99,4011.99,27.67,2.37,4.5,VIAV,16,5,16,21,26,1.9,0.5,10.8
30,0,73.3,29.9,14499.7,9499.7,189.99,4011.99,27.67,2.37,4.5,VIAV,16,5,16,21,26,1.9,0.6,10.8
26,2,69.2,29.4,8259.69,3259.69,65.19,2526.09,30.58,1.29,0.8,VIAV,16,5,16,21,26,2.0,0.2,4.9
26,1,69.2,30.2,8350.13,3350.13,67.0,2551.85,30.56,1.31,0.9,VIAV,16,5,16,21,26,2.0,0.3,5.0
25,0,68.0,31.5,8176.86,3176.86,63.54,2606.26,31.87,1.22,0.8,VIAV,16,5,16,21,26,2.0,0.4,4.8
25,0,68.0,31.5,8176.86,3176.86,63.54,2606.26,31.87,1.22,0.8,VIAV,16,5,16,21,26,2.0,0.5,4.8
25,0,68.0,31.5,8176.86,3176.86,63.54,2606.26,31.87,1.22,0.8,VIAV,16,5,16,21,26,2.0,0.6,4.8
22,2,72.7,30.0,9606.8,4606.8,92.14,3146.31,32.75,1.46,1.3,VIAV,16,5,16,21,26,2.1,0.2,6.5
22,1,72.7,31.0,9711.98,4711.98,94.24,3223.03,33.19,1.46,1.4,VIAV,16,5,16,21,26,2.1,0.3,6.6
21,0,71.4,32.5,9510.45,4510.45,90.21,3156.15,33.19,1.43,1.3,VIAV,16,5,16,21,26,2.1,0.4,6.4
21,0,71.4,32.5,9510.45,4510.45,90.21,3156.15,33.19,1.43,1.3,VIAV,16,5,16,21,26,2.1,0.5,6.4
21,0,71.4,32.5,9510.45,4510.45,90.21,3156.15,33.19,1.43,1.3,VIAV,16,5,16,21,26,2.1,0.6,6.4
18,2,72.2,37.0,7588.51,2588.51,51.77,2675.12,35.25,0.97,0.5,VIAV,16,5,16,21,26,2.2,0.2,4.1
18,1,72.2,36.1,6237.23,1237.23,24.74,2819.16,41.66,0.44,0.1,VIAV,16,5,16,21,26,2.2,0.3,2.1
17,0,70.6,40.5,7512.4,2512.4,50.25,2760.02,36.74,0.91,0.5,VIAV,16,5,16,21,26,2.2,0.4,4.0
17,0,70.6,40.5,7512.4,2512.4,50.25,2760.02,36.74,0.91,0.5,VIAV,16,5,16,21,26,2.2,0.5,4.0
17,0,70.6,40.5,7512.4,2512.4,50.25,2760.02,36.74,0.91,0.5,VIAV,16,5,16,21,26,2.2,0.6,4.0
