Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
43,2,72.1,21.4,6851.94,1851.94,37.04,4067.47,45.79,0.46,0.2,WABC,16,5,16,21,26,1.5,0.2,3.1
43,1,72.1,21.9,8801.5,3801.5,76.03,4668.66,43.01,0.81,0.6,WABC,16,5,16,21,26,1.5,0.3,5.6
42,0,73.8,22.4,8706.39,3706.39,74.13,4735.5,43.63,0.78,0.6,WABC,16,5,16,21,26,1.5,0.4,5.5
42,0,73.8,22.4,8706.39,3706.39,74.13,4735.5,43.63,0.78,0.6,WABC,16,5,16,21,26,1.5,0.5,5.5
42,0,73.8,22.4,8706.39,3706.39,74.13,4735.5,43.63,0.78,0.6,WABC,16,5,16,21,26,1.5,0.6,5.5
41,2,75.6,22.1,7616.24,2616.24,52.32,4378.41,44.58,0.6,0.3,WABC,16,5,16,21,26,1.6,0.2,4.1
41,1,75.6,22.6,9783.27,4783.27,95.67,5210.45,42.7,0.92,0.9,WABC,16,5,16,21,26,1.6,0.3,6.7
40,0,77.5,23.2,9677.54,4677.54,93.55,5286.02,43.32,0.88,0.8,WABC,16,5,16,21,26,1.6,0.4,6.5
40,0,77.5,23.2,9677.54,4677.54,93.55,5286.02,43.32,0.88,0.8,WABC,16,5,16,21,26,1.6,0.5,6.5
40,0,77.5,23.2,9677.54,4677.54,93.55,5286.02,43.32,0.88,0.8,WABC,16,5,16,21,26,1.6,0.6,6.5
39,2,76.9,22.9,8349.13,3349.13,66.98,3577.26,38.78,0.94,0.6,WABC,16,5,16,21,26,1.7,0.2,5.0
39,1,79.5,23.3,11748.52,6748.52,134.97,4409.36,35.68,1.53,2.1,WABC,16,5,16,21,26,1.7,0.3,8.5
38,0,78.9,24.4,10773.04,5773.04,115.46,5069.25,41.02,1.14,1.3,WABC,16,5,16,21,26,1.7,0.4,7.6
38,0,78.9,24.4,10773.04,5773.04,115.46,5069.25,41.02,1.14,1.3,WABC,16,5,16,21,26,1.7,0.5,7.6
38,0,78.9,24.4,10773.04,5773.04,115.46,5069.25,41.02,1.14,1.3,WABC,16,5,16,21,26,1.7,0.6,7.6
31,2,71.0,28.2,6194.55,1194.55,23.89,3962.38,46.48,0.3,0.1,WABC,16,5,16,21,26,1.8,0.2,2.1
31,1,74.2,28.7,8716.7,3716.7,74.33,3561.74,35.68,1.04,0.8,WABC,16,5,16,21,26,1.8,0.3,5.5
30,0,73.3,30.2,7992.95,2992.95,59.86,4094.79,41.02,0.73,0.4,WABC,16,5,16,21,26,1.8,0.4,4.6
30,0,73.3,30.2,7992.95,2992.95,59.86,4094.79,41.02,0.73,0.4,WABC,16,5,16,21,26,1.8,0.5,4.6
30,0,73.3,30.2,7992.95,2992.95,59.86,4094.79,41.02,0.73,0.4,WABC,16,5,16,21,26,1.8,0.6,4.6
29,2,72.4,31.0,6842.14,1842.14,36.84,3421.46,39.93,0.54,0.2,WABC,16,5,16,21,26,1.9,0.2,3.1
29,1,72.4,32.6,8248.53,3248.53,64.97,3583.87,36.61,0.91,0.6,WABC,16,5,16,21,26,1.9,0.3,4.9
28,0,71.4,34.2,7707.74,2707.74,54.15,3990.75,40.76,0.68,0.4,WABC,16,5,16,21,26,1.9,0.4,4.2
28,0,71.4,34.2,7707.74,2707.74,54.15,3990.75,40.76,0.68,0.4,WABC,16,5,16,21,26,1.9,0.5,4.2
28,0,71.4,34.2,7707.74,2707.74,54.15,3990.75,40.76,0.68,0.4,WABC,16,5,16,21,26,1.9,0.6,4.2
25,2,72.0,34.0,6722.01,1722.01,34.44,4002.4,44.43,0.43,0.1,WABC,16,5,16,21,26,2.0,0.2,2.9
25,1,72.0,35.8,8103.71,3103.71,62.07,3634.16,37.59,0.85,0.5,WABC,16,5,16,21,26,2.0,0.3,4.7
24,0,70.8,37.8,7572.42,2572.42,51.45,4029.82,41.68,0.64,0.3,WABC,16,5,16,21,26,2.0,0.4,4.1
24,0,70.8,37.8,7572.42,2572.42,51.45,4029.82,41.68,0.64,0.3,WABC,16,5,16,21,26,2.0,0.5,4.1
24,0,70.8,37.8,7572.42,2572.42,51.45,4029.82,41.68,0.64,0.3,WABC,16,5,16,21,26,2.0,0.6,4.1
20,2,70.0,38.6,5588.87,588.87,11.78,4047.78,47.91,0.15,0.0,WABC,16,5,16,21,26,2.1,0.2,1.1
20,1,70.0,41.4,6467.81,1467.81,29.36,3682.03,41.96,0.4,0.1,WABC,16,5,16,21,26,2.1,0.3,2.5
20,0,70.0,42.5,7139.78,2139.78,42.8,3152.89,35.93,0.68,0.3,WABC,16,5,16,21,26,2.1,0.4,3.5
20,0,70.0,42.5,7139.78,2139.78,42.8,3152.89,35.93,0.68,0.3,WABC,16,5,16,21,26,2.1,0.5,3.5
20,0,70.0,42.5,7139.78,2139.78,42.8,3152.89,35.93,0.68,0.3,WABC,16,5,16,21,26,2.1,0.6,3.5
17,2,58.8,44.5,4870.36,-129.64,-2.59,3312.69,46.35,-0.04,0.0,WABC,16,5,16,21,26,2.2,0.2,-0.3
17,1,64.7,47.6,6000.78,1000.78,20.02,3998.18,45.83,0.25,0.1,WABC,16,5,16,21,26,2.2,0.3,1.8
17,0,64.7,48.9,6677.27,1677.27,33.55,3465.49,39.73,0.48,0.2,WABC,16,5,16,21,26,2.2,0.4,2.8
17,0,64.7,48.9,6677.27,1677.27,33.55,3465.49,39.73,0.48,0.2,WABC,16,5,16,21,26,2.2,0.5,2.8
17,0,64.7,48.9,6677.27,1677.27,33.55,3465.49,39.73,0.48,0.2,WABC,16,5,16,21,26,2.2,0.6,2.8
16,2,62.5,47.9,4946.75,-53.25,-1.06,2814.91,41.95,-0.02,0.0,WABC,16,5,16,21,26,2.3,0.2,-0.1
15,1,60.0,55.3,5089.66,89.66,1.79,3391.12,45.83,0.03,0.0,WABC,16,5,16,21,26,2.3,0.3,0.2
15,0,60.0,56.7,5663.43,663.43,13.27,2939.31,39.73,0.23,0.0,WABC,16,5,16,21,26,2.3,0.4,1.2
15,0,60.0,56.7,5663.43,663.43,13.27,2939.31,39.73,0.23,0.0,WABC,16,5,16,21,26,2.3,0.5,1.2
15,0,60.0,56.7,5663.43,663.43,13.27,2939.31,39.73,0.23,0.0,WABC,16,5,16,21,26,2.3,0.6,1.2
11,2,54.5,60.9,4216.22,-783.78,-15.68,3503.47,49.35,-0.22,0.0,WABC,16,5,16,21,26,2.4,0.2,-1.6
11,1,54.5,70.9,4815.27,-184.73,-3.69,3475.36,45.83,-0.05,0.0,WABC,16,5,16,21,26,2.4,0.3,-0.4
11,0,54.5,72.8,5358.12,358.12,7.16,3012.33,39.73,0.12,0.0,WABC,16,5,16,21,26,2.4,0.4,0.7
11,0,54.5,72.8,5358.12,358.12,7.16,3012.33,39.73,0.12,0.0,WABC,16,5,16,21,26,2.4,0.5,0.7
11,0,54.5,72.8,5358.12,358.12,7.16,3012.33,39.73,0.12,0.0,WABC,16,5,16,21,26,2.4,0.6,0.7
10,2,60.0,76.4,4432.14,-567.86,-11.36,3642.0,49.35,-0.16,0.0,WABC,16,5,16,21,26,2.5,0.2,-1.2
10,1,60.0,87.4,5061.87,61.87,1.24,3612.79,45.83,0.02,0.0,WABC,16,5,16,21,26,2.5,0.3,0.1
10,0,60.0,89.5,5632.52,632.52,12.65,3131.45,39.73,0.2,0.0,WABC,16,5,16,21,26,2.5,0.4,1.2
10,0,60.0,89.5,5632.52,632.52,12.65,3131.45,39.73,0.2,0.0,WABC,16,5,16,21,26,2.5,0.5,1.2
10,0,60.0,89.5,5632.52,632.52,12.65,3131.45,39.73,0.2,0.0,WABC,16,5,16,21,26,2.5,0.6,1.2
9,2,66.7,107.4,4753.07,-246.93,-4.94,3226.43,44.84,-0.08,0.0,WABC,16,5,16,21,26,2.6,0.2,-0.5
9,1,66.7,119.7,5428.4,428.4,8.57,3440.98,43.16,0.12,0.0,WABC,16,5,16,21,26,2.6,0.3,0.8
9,0,66.7,122.3,6342.16,1342.16,26.84,2730.19,34.24,0.49,0.1,WABC,16,5,16,21,26,2.6,0.4,2.3
9,0,66.7,122.3,6342.16,1342.16,26.84,2730.19,34.24,0.49,0.1,WABC,16,5,16,21,26,2.6,0.5,2.3
