Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
41,4,65.9,22.8,4973.29,-26.71,-0.53,4788.82,56.42,-0.01,0.0,WTBA,16,5,16,21,26,1.5,0.2,-0.1
41,2,70.7,23.5,5965.89,965.89,19.32,4661.02,51.23,0.21,0.0,WTBA,16,5,16,21,26,1.5,0.3,1.7
39,0,69.2,24.7,6241.97,1241.97,24.84,4806.68,50.87,0.26,0.1,WTBA,16,5,16,21,26,1.5,0.4,2.2
39,0,69.2,24.7,6241.97,1241.97,24.84,4806.68,50.87,0.26,0.1,WTBA,16,5,16,21,26,1.5,0.5,2.2
39,0,69.2,24.7,6241.97,1241.97,24.84,4806.68,50.87,0.26,0.1,WTBA,16,5,16,21,26,1.5,0.6,2.2
37,4,64.9,26.4,4730.76,-269.24,-5.38,4642.77,57.71,-0.06,0.0,WTBA,16,5,16,21,26,1.6,0.2,-0.5
36,2,69.4,27.3,5102.69,102.69,2.05,4361.92,54.31,0.02,0.0,WTBA,16,5,16,21,26,1.6,0.3,0.2
34,0,67.6,28.9,5248.36,248.36,4.97,4375.77,53.69,0.06,0.0,WTBA,16,5,16,21,26,1.6,0.4,0.5
34,0,67.6,28.9,5248.36,248.36,4.97,4375.77,53.69,0.06,0.0,WTBA,16,5,16,21,26,1.6,0.5,0.5
34,0,67.6,28.9,5248.36,248.36,4.97,4375.77,53.69,0.06,0.0,WTBA,16,5,16,21,26,1.6,0.6,0.5
34,3,61.8,29.1,5531.98,531.98,10.64,3939.07,50.03,0.14,0.0,WTBA,16,5,16,21,26,1.7,0.2,1.0
33,2,66.7,30.0,5831.55,831.55,16.63,4043.54,49.37,0.21,0.0,WTBA,16,5,16,21,26,1.7,0.3,1.5
31,0,64.5,32.0,5552.42,552.42,11.05,3926.05,49.86,0.14,0.0,WTBA,16,5,16,21,26,1.7,0.4,1.0
31,0,64.5,32.0,5552.42,552.42,11.05,3926.05,49.86,0.14,0.0,WTBA,16,5,16,21,26,1.7,0.5,1.0
31,0,64.5,32.0,5552.42,552.42,11.05,3926.05,49.86,0.14,0.0,WTBA,16,5,16,21,26,1.7,0.6,1.0
33,3,66.7,30.4,6908.02,1908.02,38.16,4466.42,51.28,0.43,0.2,WTBA,16,5,16,21,26,1.8,0.2,3.2
32,2,71.9,31.7,7035.06,2035.06,40.7,4183.96,49.2,0.49,0.2,WTBA,16,5,16,21,26,1.8,0.3,3.3
30,0,70.0,33.9,6698.33,1698.33,33.97,4359.83,51.45,0.39,0.1,WTBA,16,5,16,21,26,1.8,0.4,2.8
30,0,70.0,33.9,6698.33,1698.33,33.97,4359.83,51.45,0.39,0.1,WTBA,16,5,16,21,26,1.8,0.5,2.8
30,0,70.0,33.9,6698.33,1698.33,33.97,4359.83,51.45,0.39,0.1,WTBA,16,5,16,21,26,1.8,0.6,2.8
29,3,65.5,33.7,7675.83,2675.83,53.52,4035.1,43.2,0.66,0.4,WTBA,16,5,16,21,26,1.9,0.2,4.2
27,2,66.7,37.0,6450.52,1450.52,29.01,5049.84,53.11,0.29,0.1,WTBA,16,5,16,21,26,1.9,0.3,2.5
26,0,65.4,38.7,6844.47,1844.47,36.89,4410.8,48.25,0.42,0.2,WTBA,16,5,16,21,26,1.9,0.4,3.1
26,0,65.4,38.7,6844.47,1844.47,36.89,4410.8,48.25,0.42,0.2,WTBA,16,5,16,21,26,1.9,0.5,3.1
26,0,65.4,38.7,6844.47,1844.47,36.89,4410.8,48.25,0.42,0.2,WTBA,16,5,16,21,26,1.9,0.6,3.1
25,3,64.0,39.2,6618.95,1618.95,32.38,3704.63,43.13,0.44,0.1,WTBA,16,5,16,21,26,2.0,0.2,2.7
22,1,63.6,44.5,5350.81,350.81,7.02,3698.82,48.36,0.09,0.0,WTBA,16,5,16,21,26,2.0,0.3,0.7
22,0,63.6,45.4,6140.48,1140.48,22.81,3874.91,46.09,0.29,0.1,WTBA,16,5,16,21,26,2.0,0.4,2.0
22,0,63.6,45.4,6140.48,1140.48,22.81,3874.91,46.09,0.29,0.1,WTBA,16,5,16,21,26,2.0,0.5,2.0
22,0,63.6,45.4,6140.48,1140.48,22.81,3874.91,46.09,0.29,0.1,WTBA,16,5,16,21,26,2.0,0.6,2.0
23,3,69.6,42.7,7307.98,2307.98,46.16,3698.45,39.49,0.62,0.3,WTBA,16,5,16,21,26,2.1,0.2,3.7
20,1,65.0,49.3,5027.63,27.63,0.55,3171.8,44.86,0.01,0.0,WTBA,16,5,16,21,26,2.1,0.3,0.1
20,0,65.0,50.2,6001.13,1001.13,20.02,3459.83,42.65,0.29,0.1,WTBA,16,5,16,21,26,2.1,0.4,1.8
20,0,65.0,50.2,6001.13,1001.13,20.02,3459.83,42.65,0.29,0.1,WTBA,16,5,16,21,26,2.1,0.5,1.8
20,0,65.0,50.2,6001.13,1001.13,20.02,3459.83,42.65,0.29,0.1,WTBA,16,5,16,21,26,2.1,0.6,1.8
20,3,65.0,47.8,6867.04,1867.04,37.34,3264.22,37.7,0.57,0.2,WTBA,16,5,16,21,26,2.2,0.2,3.1
18,1,61.1,53.6,5295.69,295.69,5.91,3164.76,43.21,0.09,0.0,WTBA,16,5,16,21,26,2.2,0.3,0.6
18,0,61.1,54.6,6321.09,1321.09,26.42,2705.61,36.07,0.49,0.1,WTBA,16,5,16,21,26,2.2,0.4,2.3
18,0,61.1,54.6,6321.09,1321.09,26.42,2705.61,36.07,0.49,0.1,WTBA,16,5,16,21,26,2.2,0.5,2.3
18,0,61.1,54.6,6321.09,1321.09,26.42,2705.61,36.07,0.49,0.1,WTBA,16,5,16,21,26,2.2,0.6,2.3
19,3,63.2,46.6,6684.49,1684.49,33.69,2956.45,36.8,0.57,0.2,WTBA,16,5,16,21,26,2.3,0.2,2.8
17,1,58.8,52.1,5298.09,298.09,5.96,3034.95,42.99,0.1,0.0,WTBA,16,5,16,21,26,2.3,0.3,0.6
17,0,58.8,53.2,6323.97,1323.97,26.48,2607.91,36.45,0.51,0.1,WTBA,16,5,16,21,26,2.3,0.4,2.3
17,0,58.8,53.2,6323.97,1323.97,26.48,2607.91,36.45,0.51,0.1,WTBA,16,5,16,21,26,2.3,0.5,2.3
17,0,58.8,53.2,6323.97,1323.97,26.48,2607.91,36.45,0.51,0.1,WTBA,16,5,16,21,26,2.3,0.6,2.3
15,4,60.0,57.8,3857.69,-1142.31,-22.85,4497.93,62.0,-0.25,0.1,WTBA,16,5,16,21,26,2.4,0.2,-2.5
