Ticker,Best Score,CAGR %,Total Return %,RDR,Win %,Max DD %,Trades,Avg Hold Days,N1,N2,N3,K,Stop %,WF Profitable,Data Through
ABX,1.8,12.0,91.1,1.96,50.0,24.4,10,39.8,25,33,41,2.0,0.3,0/0,2026-06-04
AEIS,77.8,23.4,796.8,9.77,88.9,9.1,9,74.9,37,52,67,2.4,0.3,8/9,2026-06-04
AFRI,1.8,12.6,88.5,2.05,64.3,19.7,14,35.2,22,34,46,1.7,0.2,0/0,2026-06-04
AGM,20.6,16.9,410.4,5.03,83.3,15.9,6,125.3,23,28,33,2.9,0.4,1/9,2026-06-04
AI,1.2,16.2,128.2,0.92,80.0,43.6,10,47.1,40,55,70,2.0,0.3,0/0,2026-06-04
AIP,29.2,37.7,335.9,8.7,80.0,8.9,5,34.2,35,43,51,2.2,0.4,0/0,2026-06-04
ATYR,0.9,-18.2,-87.6,-0.98,14.3,87.8,7,21.3,16,21,26,2.6,0.2,3/9,2026-06-04
AVNW,295.9,35.4,2256.9,13.11,100.0,7.3,5,81.6,16,21,26,3.2,0.4,2/9,2026-06-04
BATRK,5.3,11.5,200.6,2.63,93.3,25.4,15,33.7,27,32,37,2.3,0.4,6/9,2026-06-04
BDN,13.0,13.1,259.8,4.99,90.0,14.4,10,92.9,38,50,62,2.6,0.2,3/9,2026-06-04
BRSL,11.7,16.7,400.9,2.93,62.5,27.1,8,103.8,26,36,46,3.0,0.3,6/9,2026-06-04
CDE,331.4,44.4,4478.8,7.4,73.9,12.7,46,22.2,21,29,37,1.5,0.3,8/9,2026-06-04
CNNE,1.9,10.8,139.7,1.37,91.7,36.4,12,49.8,19,31,43,2.3,0.3,3/6,2026-06-04
CRSR,0.9,-30.0,-86.9,-0.99,37.5,87.0,16,48.2,23,28,33,1.6,0.3,0/0,2026-06-04
CSR,28.7,18.8,504.0,5.69,91.7,14.7,12,88.1,38,53,68,2.5,0.2,3/9,2026-06-04
CTEV,15.6,26.4,324.0,4.8,75.0,15.9,4,19.5,33,48,63,2.5,0.2,0/1,2026-06-04
CVLT,13.3,18.5,484.0,2.75,74.4,27.6,43,21.2,17,22,27,1.7,0.2,9/9,2026-06-04
DC,45.0,64.8,700.4,6.43,100.0,13.6,10,36.6,40,45,50,1.8,0.2,0/0,2026-06-04
DY,18.5,16.8,404.4,4.58,73.5,17.5,34,22.6,16,28,40,1.5,0.3,2/9,2026-06-04
EGHT,6.3,13.7,279.4,2.25,71.4,32.7,14,42.4,26,38,50,2.2,0.4,0/9,2026-06-04
ELMD,29.1,23.6,807.2,3.61,75.0,24.7,12,75.6,37,42,47,2.6,0.4,3/9,2026-06-04
GSIT,302.0,36.7,2495.6,12.1,72.7,8.0,44,23.3,21,26,31,1.6,0.2,7/9,2026-06-04
III,8.0,15.5,349.2,2.29,80.0,28.0,25,35.7,30,42,54,1.6,0.2,5/9,2026-06-04
ILPT,14.3,13.8,195.9,7.3,100.0,9.1,3,194.0,32,47,62,3.1,0.2,0/5,2026-06-04
JJSF,2.0,8.5,134.9,1.51,83.9,32.0,31,28.5,17,25,33,1.9,0.2,6/9,2026-06-04
LXFR,31.7,20.5,596.2,5.32,84.2,16.1,19,46.3,38,53,68,1.9,0.4,7/9,2026-06-04
MOD,30.9,24.9,911.8,3.39,75.0,26.6,48,18.6,18,23,28,1.5,0.2,3/9,2026-06-04
MRVI,0.9,-31.4,-87.6,-0.99,35.7,87.7,14,18.9,21,33,45,1.9,0.2,0/0,2026-06-04
NB,8.7,34.6,159.3,5.49,77.8,11.2,9,25.2,24,29,34,1.7,0.2,0/0,2026-06-04
